,processed,nonprocessed
10,moreover epidemiology pathogenesis prevention different treatment options discussed shall prepare better fight severe acute respiratory syndrome coronavirus sarscov,"Moreover, the epidemiology, pathogenesis, prevention and different treatment options will be discussed so that we shall prepare ourselves better to fight with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)."
11,expert opinion situation covid pandemic still unpredictable,EXPERT OPINION: The situation of the COVID-19 pandemic is still unpredictable.
12,effective vaccine specific antiviral drug treat serve covid patients,There is no effective vaccine or specific anti-viral drug to treat serve COVID-19 patients.
13,combination therapies shown promising clinical improvement,Combination therapies have shown promising clinical improvement.
14,repurposing fdaapproved drugs might one possible treatment options,Repurposing FDA-approved drugs might be one of possible treatment options.
15,without specific treatment vaccines covid effective way prevent infected generate ecosystem effective protection precautions preventive measures,"Without specific treatment and vaccines for COVID-19, the most effective way to prevent from being infected is to generate an ecosystem with effective protection, precautions and preventive measures."
16,recently novel lifethreatening coronavirus infection covid reported end wuhan china spread throughout world little time,"Recently, the novel life-threatening coronavirus infection (COVID-19) was reported at the end of 2019 in Wuhan, China, and spread throughout the world in little time."
17,effective antiviral activities natural products proved different studies,The effective antiviral activities of natural products have been proved in different studies.
18,review regarding effective herbal treatments coronavirus infections promising natural products covid treatment suggested,"In this review, regarding the effective herbal treatments on other coronavirus infections, promising natural products for COVID-19 treatment are suggested."
19,extensive search google scholar science direct pubmed isi scopus done search words include coronavirus covid sars mers natural product herb plant extract,"An extensive search in Google Scholar, Science Direct, PubMed, ISI, and Scopus was done with search words include coronavirus, COVID-19, SARS, MERS, natural product, herb, plant, and extract."
20,consumption herbal medicine allium sativum camellia sinensis zingiber officinale nigella sativa echinacea spp,"The consumption of herbal medicine such as Allium sativum, Camellia sinensis, Zingiber officinale, Nigella sativa, Echinacea spp."
21,hypericum perforatum glycyrrhiza glabra scutellaria baicalensis improve immune response,"Hypericum perforatum, and Glycyrrhiza glabra, Scutellaria baicalensis can improve the immune response."
22,seems different types terpenoids promising effects viral replication inhibition could introduced future studies,It seems that different types of terpenoids have promising effects in viral replication inhibition and could be introduced for future studies.
23,additionally alkaloid structures homoharringtonine lycorine emetine strong anticoronavirus effects,"Additionally, some alkaloid structures such as homoharringtonine, lycorine, and emetine have strong anti-coronavirus effects."
24,natural products inhibit different coronavirus targets protein emodin baicalin viral enzymes replication cl pro iguesterin pl pro cryptotanshinone helicase silvestrol rdrp sotetsuflavone,"Natural products can inhibit different coronavirus targets such as S protein (emodin, baicalin) and viral enzymes replication such as 3CL(pro) (Iguesterin), PL(pro) (Cryptotanshinone), helicase (Silvestrol), and RdRp (Sotetsuflavone)."
25,based previous studies natural products introduced preventive therapeutic agents fight coronavirus,"Based on previous studies, natural products can be introduced as preventive and therapeutic agents in the fight against coronavirus."
26,background aim sarscov virus infection covid observed china last months,Background/aim: Sars-CoV-2 virus infection (COVID-19) was observed in China in the last months of 2019.
27,period following infection spread world,"In the period following, this infection spread all over the world."
28,march world health organization announced existence pandemic,In March 2020 the World Health Organization announced the existence of a pandemic.
29,aim manuscript investigate skin diseases associated covid three main headings skin problems related personal protective equipment personal hygiene measures skin findings observed sarscov virus infections skin findings due covid treatment agents,"The aim of this manuscript is to investigate skin diseases associated with COVID-19 under three main headings: skin problems related to personal protective equipment and personal hygiene measures, skin findings observed in SARS-CoV-2 virus infections, and skin findings due to COVID-19 treatment agents."
30,materials methods pubmed google scholar databases skin lesions related personal protective equipment personal hygiene measures skin findings observed sarscov virus infections skin findings due covid treatment agents subjects searched detail,"Materials and methods: In PubMed, Google Scholar databases, skin lesions related to personal protective equipment and personal hygiene measures, skin findings observed in SARS-CoV-2 virus infections and skin findings due to COVID-19 treatment agents subjects are searched in detail."
31,results pressure injury contact dermatitis itching pressure urticaria exacerbation preexisting skin diseases new skin lesion occurrence new skin disease occurrence may due personal protective equipment,"Results: Pressure injury, contact dermatitis, itching, pressure urticaria, exacerbation of preexisting skin diseases, and new skin lesion occurrence/new skin disease occurrence may be due to personal protective equipment."
32,skin problems related personal hygiene measures could include itching dryness contact dermatitis,"Skin problems related to personal hygiene measures could include itching, dryness, and contact dermatitis."
33,skin findings may also observed sarscov virus infections,Skin findings may also be observed in SARS-CoV-2 virus infections.
34,incidence skin lesions due covid reported,The incidence of skin lesions due to COVID-19 was reported to be between 0.2% and 29%.
35,many skin lesions including maculopapular urticarial vesicular chilblainlike thrombotic ischemic etc,"Many skin lesions including maculopapular, urticarial, vesicular, chilblain-like, thrombotic/ischemic, etc."
36,observed covid patients,are observed in COVID-19 patients.
37,authors stated absence sarscov virus infectionspecific skin findings,Some authors have stated that there is an absence of SARS-CoV-2 virus infection-specific skin findings.
38,however asymptomatic presymptomatic covid patients particular skin lesions lead diagnosis covid,"However, in asymptomatic or presymptomatic COVID-19 patients in particular, skin lesions can lead to the diagnosis of COVID-19."
39,addition skin lesions may occur due covid treatment agents,"In addition, skin lesions may occur due to COVID-19 treatment agents."
40,conclusion many skin lesions may appear result covid,Conclusion: Many skin lesions may appear as a result of COVID-19.
41,even absence covid diagnosis skin findings evaluated carefully pandemic period,"Even in the absence of a COVID-19 diagnosis, skin findings should be evaluated carefully in this pandemic period."
42,since outbreak china december novel coronavirus named sarscov spread worldwide causing many cases severe pneumonia referred covid disease leading world health organization declare pandemic emergency march,"Since its outbreak in China in December 2019 a novel Coronavirus, named SARS-CoV-2, has spread worldwide causing many cases of severe pneumonia, referred to as COVID-19 disease, leading the World Health Organization to declare a pandemic emergency in March 2020."
43,specific therapy covid disease exists,"Up to now, no specific therapy against COVID-19 disease exists."
44,paper aims review covid treatment options currently investigation,This paper aims to review COVID-19 treatment options currently under investigation.
45,divided studied drugs three categories antiviral immunomodulatory drugs,"We divided the studied drugs into three categories (antiviral, immunomodulatory and other drugs)."
46,molecule discussed putative mechanisms drug may act sarscov may affect covid pathogenesis main clinical studies performed far,"For each molecule, we discussed the putative mechanisms by which the drug may act against SARS-CoV-2 or may affect COVID-19 pathogenesis and the main clinical studies performed so far."
47,published clinical studies suffer methodological limitations due emergency setting conducted,The published clinical studies suffer from methodological limitations due to the emergency setting in which they have been conducted.
48,nevertheless seems timing administration diverse categories drugs crucial determining clinical efficacy,"Nevertheless, it seems that the timing of administration of the diverse categories of drugs is crucial in determining clinical efficacy."
49,antiviral drugs particular remdesivir administered soon symptoms onset viraemic phase disease whereas immunomodulatory agents tocilizumab anakinra steroids may better results administered pneumonia hyperinflammatory phases,"Antiviral drugs, in particular Remdesivir, should be administered soon after symptoms onset, in the viraemic phase of the disease; whereas, immunomodulatory agents, such as tocilizumab, anakinra and steroids, may have better results if administered in pneumonia/hyperinflammatory phases."
50,lowmolecularweight heparin may also role facing covidrelated coagulopathy,Low-molecular-weight heparin may also have a role when facing COVID-19-related coagulopathy.
51,treatment choices inferred experience coronaviruses viral infection outbreaks,"Up to now, treatment choices have been inferred from the experience with other coronaviruses or viral infection outbreaks."
52,hopefully near future new treatment strategies available thanks increased knowledge sarscov virus covid pathogenesis,"Hopefully, in the near future, new treatment strategies will be available thanks to increased knowledge on SARS-CoV2 virus and COVID-19 pathogenesis."
53,meanwhile welldesigned clinical trials urgently needed establish standard care covid disease,"In the meanwhile, further well-designed clinical trials are urgently needed to establish a standard of care in COVID-19 disease."
54,recent coronavirus disease covid pandemic produced high excessive demands hospitalizations equipment depletion critical care resources,The recent coronavirus disease 2019 (COVID-19) pandemic produced high and excessive demands for hospitalizations and equipment with depletion of critical care resources.
55,results extreme therapeutic efforts sobering,The results of these extreme therapeutic efforts have been sobering.
56,months away robust vaccination effort current therapies provide limited clinical relief,"Further, we are months away from a robust vaccination effort, and current therapies provide limited clinical relief."
57,therefore several empirical oxygenation support initiatives initiated intermittent hyperbaric oxygen hbo therapy overcome unrelenting progressive hypoxemia maximum ventilator support intubated patients despite high fio,"Therefore, several empirical oxygenation support initiatives have been initiated with intermittent hyperbaric oxygen (HBO) therapy to overcome the unrelenting and progressive hypoxemia during maximum ventilator support in intubated patients, despite high FiO2."
58,overall patients successfully treated different locations across globe,"Overall, few patients have been successfully treated in different locations across the globe."
59,recently less severe patients edge impending hypoxemia exposed hbo preventing intubation obtaining rapid resolution symptoms,"More recently, less severe patients at the edge of impending hypoxemia were exposed to HBO preventing intubation and obtaining the rapid resolution of symptoms."
60,case descriptions indicate large variability protocols exposure frequency,The few case descriptions indicate large variability in protocols and exposure frequency.
61,summary illustrates biological mechanisms action increased pressure hoping clarify appropriate protocols useful application hbo covid treatment,"This summary illustrates the biological mechanisms of action of increased O2 pressure, hoping to clarify more appropriate protocols and more useful application of HBO in COVID-19 treatment."
62,coronavirus disease covid respiratory viral infection caused coronavirus sarscov severe acute respiratory syndrome coronavirus,Coronavirus disease of 2019 (COVID-19) is the respiratory viral infection caused by the coronavirus SARS-CoV2 (Severe Acute Respiratory Syndrome Coronavirus 2).
63,despite respiratory illness covid found increase risk venous arterial thromboembolic events,"Despite being a respiratory illness, COVID-19 is found to increase the risk of venous and arterial thromboembolic events."
64,indeed link covid thrombosis attracting attention broad scientific community,"Indeed, the link between COVID-19 and thrombosis is attracting attention from the broad scientific community."
65,review analyze current available knowledge association covid thrombosis,In this review we will analyze the current available knowledge of the association between COVID-19 and thrombosis.
66,highlight mechanisms molecular cellular levels may explain association,We will highlight mechanisms at both molecular and cellular levels that may explain this association.
67,addition article review antithrombotic properties agents currently utilized studied covid management,"In addition, the article will review the antithrombotic properties of agents currently utilized or being studied in COVID-19 management."
68,finally discuss current professional association guidance prevention treatment thromboembolism associated covid,"Finally, we will discuss current professional association guidance on prevention and treatment of thromboembolism associated with COVID-19."
69,viruses human cytomegalovirus hcmv human papillomavirus hpv epsteinbarr virus ebv human immunodeficiency virus hiv coronavirus severe acute respiratory syndrome coronavirus sarscov represent great burden human health worldwide,"Viruses such as human cytomegalovirus (HCMV), human papillomavirus (HPV), Epstein-Barr virus (EBV), human immunodeficiency virus (HIV), and coronavirus (severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]) represent a great burden to human health worldwide."
70,fdaapproved antiparasite drug ivermectin also antibacterial antiviral anticancer agent offers potentiality improve global public health effectively inhibit replication sarscov vitro,"FDA-approved anti-parasite drug ivermectin is also an antibacterial, antiviral, and anticancer agent, which offers more potentiality to improve global public health, and it can effectively inhibit the replication of SARS-CoV-2 in vitro."
71,study sought identify ivermectinrelated virus infection pathway alterations human ovarian cancer cells,This study sought to identify ivermectin-related virus infection pathway alterations in human ovarian cancer cells.
72,stable isotope labeling amino acids cell culture silac quantitative proteomics used analyze human ovarian cancer cells tovg treated without ivermectin mumol l h identified ivermectinrelated proteins ovarian cancer cells,"Stable isotope labeling by amino acids in cell culture (SILAC) quantitative proteomics was used to analyze human ovarian cancer cells TOV-21G treated with and without ivermectin (20 mumol/L) for 24 h, which identified 4447 ivermectin-related proteins in ovarian cancer cells."
73,pathway network analysis revealed four statistically significant antiviral pathways including hcmv hpv ebv hiv infection pathways,"Pathway network analysis revealed four statistically significant antiviral pathways, including HCMV, HPV, EBV, and HIV1 infection pathways."
74,interestingly compared reported sarscov covidrelated genes genclip identified sarscov covidrelated protein alterations treated without ivermectin,"Interestingly, compared with the reported 284 SARS-CoV-2/COVID-19-related genes from GencLip3, we identified 52 SARS-CoV-2/COVID-19-related protein alterations when treated with and without ivermectin."
75,proteinprotein network ppi constructed based interactions sarscov covidrelated genes sarscov covidrelated proteins regulated ivermectin,Protein-protein network (PPI) was constructed based on the interactions between 284 SARS-CoV-2/COVID-19-related genes and between 52 SARS-CoV-2/COVID-19-related proteins regulated by ivermectin.
76,molecular complex detection analysis ppi network identified three hub modules including cytokines growth factor family map kinase gprotein family hla class proteins,"Molecular complex detection analysis of PPI network identified three hub modules, including cytokines and growth factor family, MAP kinase and G-protein family, and HLA class proteins."
77,gene ontology analysis revealed statistically significant cellular components molecular functions biological processes,"Gene Ontology analysis revealed 10 statistically significant cellular components, 13 molecular functions, and 11 biological processes."
78,findings demonstrate broadspectrum antiviral property ivermectin benefiting covid treatment context predictive preventive personalized medicine virusrelated diseases,"These findings demonstrate the broad-spectrum antiviral property of ivermectin benefiting for COVID-19 treatment in the context of predictive, preventive, and personalized medicine in virus-related diseases."
79,background medical mistrust result systemic racism prevalent among black americans may play role covid inequities,"BACKGROUND: Medical mistrust, a result of systemic racism, is prevalent among Black Americans and may play a role in COVID-19 inequities."
80,convenience sample hivpositive black americans examined associations covidrelated medical mistrust covid vaccine covid treatment hesitancy negative impacts covid antiretroviral therapy art adherence,"In a convenience sample of HIV-positive Black Americans, we examined associations of COVID-19-related medical mistrust with COVID-19 vaccine and COVID-19 treatment hesitancy and negative impacts of COVID-19 on antiretroviral therapy (ART) adherence."
81,methods participants hivpositive black americans age years sd cisgender men sexual minority enrolled randomized controlled trial communitybased art adherence intervention los angeles county ca,"METHODS: Participants were 101 HIV-positive Black Americans (age: M = 50.3 years; SD = 11.5; 86% cisgender men; 77% sexual minority) enrolled in a randomized controlled trial of a community-based ART adherence intervention in Los Angeles County, CA."
82,may july participants completed telephone interviews negative covid impacts general covid mistrust eg government withholding information covid vaccine treatment hesitancy trust covid information sources,"From May to July 2020, participants completed telephone interviews on negative COVID-19 impacts, general COVID-19 mistrust (eg, about the government withholding information), COVID-19 vaccine and treatment hesitancy, and trust in COVID-19 information sources."
83,adherence monitored electronically medication event monitoring system,Adherence was monitored electronically with the Medication Event Monitoring System.
84,results nearly participants endorsed least one general covid mistrust belief half endorsed least one covid vaccine treatment hesitancy belief,"RESULTS: Nearly all participants (97%) endorsed at least one general COVID-19 mistrust belief, and more than half endorsed at least one COVID-19 vaccine or treatment hesitancy belief."
85,social service health care providers trusted sources,Social service and health care providers were the most trusted sources.
86,greater covid mistrust related greater vaccine treatment hesitancy b se p b se p respectively,"Greater COVID-19 mistrust was related to greater vaccine and treatment hesitancy [b (SE) = 0.85 (0.14), P < 0.0001 and b (SE) = 0.88 (0.14), P < 0.0001, respectively]."
87,participants experiencing negative covid impacts showed lower art adherence assessed among subset participants b se p,"Participants experiencing more negative COVID-19 impacts showed lower ART adherence, assessed among a subset of 49 participants [b (SE) = -5.19 (2.08), P = 0.02]."
88,discussion prevent widening health inequities health care providers engage communities tailor strategies overcome mistrust deliver evidencebased information encourage covid vaccine treatment uptake,"DISCUSSION: To prevent widening health inequities, health care providers should engage with communities to tailor strategies to overcome mistrust and deliver evidence-based information, to encourage COVID-19 vaccine and treatment uptake."
89,main objective narrative review describe available evidence possible antiviral activity ozone patients covid therapeutic applicability hospital protocols,The main objective of this narrative review is to describe the available evidence on the possible antiviral activity of ozone in patients with COVID-19 and its therapeutic applicability through hospital protocols.
90,amongst different possible therapies sarscov pneumonia ozone therapy seems immunological role modulation cytokines interferons including induction gamma interferon,"Amongst different possible therapies for SARS-CoV-2 pneumonia, ozone therapy seems to have an immunological role because of the modulation of cytokines and interferons, including the induction of gamma interferon."
91,data suggest possible role ozone therapy sars either monotherapy realistically adjunct standard treatment regimens therefore increasing interest role ozone therapy covid treatment pubmed scopus databases italian scientific society oxygen ozone therapy website used identify articles focused ozone therapy,"Some data suggest the possible role of ozone therapy in SARS, either as a monotherapy or, more realistically, as an adjunct to standard treatment regimens; therefore, there is increasing interest in the role of ozone therapy in COVID-19 treatment The PubMed and Scopus databases and the Italian Scientific Society of Oxygen Ozone Therapy website were used to identify articles focused on ozone therapy."
92,search limited articles published january july,The search was limited to articles published from January 2011 to July 2020.
93,articles found ozone therapy selected narratively reviewed,"Of 280 articles found on ozone therapy, 13 were selected and narratively reviewed."
94,ozone exerts antiviral activity inhibition viral replication direct inactivation viruses,Ozone exerts antiviral activity through the inhibition of viral replication and direct inactivation of viruses.
95,ozone antiviral drug enhancer alternative antiviral drugs,Ozone is an antiviral drug enhancer and is not an alternative to antiviral drugs.
96,combined treatment involving ozone antivirals demonstrated reduction inflammation lung damage,Combined treatment with involving ozone and antivirals demonstrated a reduction in inflammation and lung damage.
97,routes ozone administration direct intravenous major autohaemotherapy extravascular blood oxygenationozonation,"The routes of ozone administration are direct intravenous, major autohaemotherapy and extravascular blood oxygenation-ozonation."
98,systemic ozone therapy seems useful controlling inflammation stimulating immunity antiviral activity providing protection acute coronary syndromes ischaemia reperfusion damage thus suggesting new methodology immune therapy,"Systemic ozone therapy seems useful in controlling inflammation, stimulating immunity and as antiviral activity and providing protection from acute coronary syndromes and ischaemia reperfusion damage, thus suggesting a new methodology of immune therapy."
99,systemic ozone therapy combination antivirals covidpositive patients may justified helpful synergic,"Systemic ozone therapy in combination with antivirals in COVID-19-positive patients may be justified, helpful and synergic."
100,sarscov novel human coronavirus responsible coronavirus disease covid pandemic,SARS-CoV-2 is a novel human coronavirus responsible for the Coronavirus disease 2019 (COVID-19) pandemic.
101,pneumonia acute respiratory distress syndrome major complications covid,Pneumonia and acute respiratory distress syndrome are the major complications of COVID-19.
102,sarscov infection activate innate adaptive immune responses result massive inflammatory responses later disease,SARS-CoV-2 infection can activate innate and adaptive immune responses and result in massive inflammatory responses later in the disease.
103,uncontrolled inflammatory responses may lead local systemic tissue damage,These uncontrolled inflammatory responses may lead to local and systemic tissue damage.
104,patients severe covid eosinopenia lymphopenia severe reduction frequency cd cd cells b cells natural killer nk cells common feature,"In patients with severe COVID-19, eosinopenia and lymphopenia with a severe reduction in the frequency of CD4+ and CD8+ T cells, B cells and natural killer (NK) cells are a common feature."
105,covid severity hinges development cytokine storm characterized elevated serum levels proinflammatory cytokines,COVID-19 severity hinges on the development of cytokine storm characterized by elevated serum levels of pro-inflammatory cytokines.
106,moreover igg igm igaspecific antibodies sarscov detected patients along viral rna forming basis assays aid patient diagnosis,"Moreover, IgG-, IgM- and IgA-specific antibodies against SARS-CoV-2 can be detected in most patients, along with the viral RNA, forming the basis for assays that aid in patient diagnosis."
107,elucidating immunopathological outcomes due covid could provide potential targets immunotherapy important choosing best clinical management consultants,Elucidating the immunopathological outcomes due to COVID-19 could provide potential targets for immunotherapy and are important for choosing the best clinical management by consultants.
108,currently along standard supportive care therapeutic approaches covid treatment involve use antiviral agents interfere sarscov lifecycle prevent viral replication utilizing immunomodulators dampen immune system order prevent cytokine storm tissue damage,"Currently, along with standard supportive care, therapeutic approaches to COVID-19 treatment involve the use of antiviral agents that interfere with the SARS-CoV-2 lifecycle to prevent further viral replication and utilizing immunomodulators to dampen the immune system in order to prevent cytokine storm and tissue damage."
109,current therapeutic options vary efficacy several molecules either shown effective viruses hiv show promise vitro could added growing arsenal agents used control covid severity spread,"While current therapeutic options vary in efficacy, there are several molecules that were either shown to be effective against other viruses such as HIV or show promise in vitro that could be added to the growing arsenal of agents used to control COVID-19 severity and spread."
110,coronavirus disease covid pandemic become global threat death tolls increasing worldwide,Coronavirus disease-2019 (COVID-19) pandemic has become a global threat and death tolls are increasing worldwide.
111,sarscov though shares similarities sarscov merscov immunopathology novel virus understood properly,"The SARS-CoV-2 though shares similarities with SARS-CoV and MERS-CoV, immunopathology of the novel virus is not understood properly."
112,previous reports sars merscov documents preexisting nonneutralizing poorly neutralizing antibodies developed result vaccine infection enhance subsequent infection phenomenon called antibodydependent enhancement ade,"Previous reports from SARS and MERS-CoV documents that preexisting, non-neutralizing or poorly neutralizing antibodies developed as a result of vaccine or infection enhance subsequent infection, a phenomenon called as antibody-dependent enhancement (ADE)."
113,since immunotherapy implicated covid treatment vaccine development due consideration provided ade prevent untoward reactions,"Since immunotherapy has been implicated for COVID-19 treatment and vaccine is under development, due consideration has to be provided on ADE to prevent untoward reactions."
114,ade mitigation strategies like development vaccine immunotherapeutics targeting receptor binding motif designed minimize ade sarscov since fulllength proteinbased approach lead ade reported merscov,ADE mitigation strategies like the development of vaccine or immunotherapeutics targeting receptor binding motif can be designed to minimize ADE of SARS-CoV-2 since full-length protein-based approach can lead to ADE as reported in MERS-CoV.
115,present minireview aims address phenomenon ade sarscov lessons learned sarscov merscov ways mitigate develop better vaccines immunotherapeutics sarscov,The present mini-review aims to address the phenomenon of ADE of SARS-CoV-2 through the lessons learned from SARS-CoV and MERS-CoV and ways to mitigate them so as to develop better vaccines and immunotherapeutics against SARS-CoV-2.
116,coronavirus disease covid viral disease caused severe acute respiratory syndrome coronavirus sarscov,Coronavirus disease 2019 (COVID-19) is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).
117,disease first reported december wuhan china countries affected coronavirus pandemic still ongoing,"The disease was first reported in December 2019 in Wuhan, China, but now more than 200 countries have been affected and the coronavirus pandemic is still ongoing."
118,severity covid symptoms range mild severe,The severity of COVID-19 symptoms can range from mild to severe.
119,fda approved remdesivir treatment covid far,FDA approved remdesivir as a treatment of COVID-19 so far.
120,various clinical trials underway find effective method treat patients covid,Various clinical trials are underway to find an effective method to treat patients with COVID-19.
121,review aimed summarizing registered clinical trials clinicaltrialsgov database possible mechanisms novel findings recent publications related covid,"This review aimed at summarizing 219 registered clinical trials in the ClinicalTrials.gov database with possible mechanisms, and novel findings of them, and other recent publications related to COVID-19."
122,according analyses various treatment approaches drugs investigated find effective drug cure covid among strategies three important mechanisms suggested important covid including antiviral antiinflammatory immunomodulatory properties,"According to our analyses, various treatment approaches and drugs are being investigated to find an effective drug to cure COVID-19 and among all strategies, three important mechanisms are suggested to be important against COVID-19 including antiviral, anti-inflammatory, and immunomodulatory properties."
123,review help future studies get way finding effective drug covid treatment providing ideas similar researches,Our review can help future studies get on the way to finding an effective drug for COVID-19 treatment by providing ideas for similar researches.
124,viral infection due new coronavirus coronavirus disease covid reported first time december named world health organization severe acute respiratory syndromecoronavirus sarscov similar genome also related symptoms sarscov,"The viral infection due to the new coronavirus or coronavirus disease 2019 (COVID-19), which was reported for the first time in December 2019, was named by the World Health Organization (WHO) as Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV2), because of the very similar genome and also its related symptoms to SARS-CoV1."
125,ongoing covid pandemic significant mortality morbidity socioeconomic impact considered global public health emergency,"The ongoing COVID-19 pandemic with significant mortality, morbidity, and socioeconomic impact is considered by the WHO as a global public health emergency."
126,since specific treatment available sarscov infection covid several clinical subclinical studies currently undertaken find goldstandard therapeutic regimen high efficacy low side effect,"Since there is no specific treatment available for SARS-CoV2 infection, and or COVID-19, several clinical and sub-clinical studies are currently undertaken to find a gold-standard therapeutic regimen with high efficacy and low side effect."
127,based published scientific evidence published date summarized herein effects different potential therapies uptodate clinical trials,"Based on the published scientific evidence published to date, we summarized herein the effects of different potential therapies and up-to-date clinical trials."
128,review intended help readers aware potentially effective covid treatment provide useful references future studies,The review is intended to help readers aware of potentially effective COVID-19 treatment and provide useful references for future studies.
129,coronavirus disease covid acute respiratory infectious disease caused severe acute respiratory syndrome coronavirus sarscov,Coronavirus disease 2019 (COVID-19) is an acute respiratory infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).
130,covid mainly causes damage lung well organs systems hearts immune system,"COVID-19 mainly causes damage to the lung, as well as other organs and systems such as the hearts, the immune system and so on."
131,although pathogenesis covid fully elucidated specific therapy disease present treatments limited supportive care,"Although the pathogenesis of COVID-19 has been fully elucidated, there is no specific therapy for the disease at present, and most treatments are limited to supportive care."
132,stem cell therapy may potential treatment refractory unmanageable pulmonary illnesses shown promising results preclinical studies,"Stem cell therapy may be a potential treatment for refractory and unmanageable pulmonary illnesses, which has shown some promising results in preclinical studies."
133,review systematically summarize pathogenic progression potential mechanisms underlying stem cell therapy covid registered covid clinical trials,"In this review, we systematically summarize the pathogenic progression and potential mechanisms underlying stem cell therapy in COVID-19, and registered COVID-19 clinical trials."
134,stem cell therapies touted covid treatment mesenchymal stem cells mscs msclike derivatives promising preclinical studies clinical trials far,"Of all the stem cell therapies touted for COVID-19 treatment, mesenchymal stem cells (MSCs) or MSC-like derivatives have been the most promising in preclinical studies and clinical trials so far."
135,mscs suggested ameliorate cytokine release syndrome crs protect alveolar epithelial cells secreting many kinds factors demonstrating safety possible efficacy covid patients acute respiratory distress syndrome ards,"MSCs have been suggested to ameliorate the cytokine release syndrome (CRS) and protect alveolar epithelial cells by secreting many kinds of factors, demonstrating safety and possible efficacy in COVID-19 patients with acute respiratory distress syndrome (ARDS)."
136,however considering consistency uniformity stem cell quality quantified guaranteed point work remains done future,"However, considering the consistency and uniformity of stem cell quality cannot be quantified nor guaranteed at this point, more work remains to be done in the future."
137,remdesivir presently considered molecule hope curb menace covid,Remdesivir is presently been considered as 'molecule of hope' to curb the menace of COVID19.
138,nonavailability usfda approved drug led several attempt drugrepurposing development new therapeutic molecules,Non-availability of any USFDA approved drug has led to several attempt of drug-repurposing and development of new therapeutic molecules.
139,however remdesivir found effective broad range virus including sars mers covid invitro studies,"However, Remdesivir has been found to be effective against a broad range of virus including SARS, MERS and COVID 19 through in-vitro studies."
140,several clinical research attempt presently conducted showing promising result yet conclusive,Several clinical research attempt are presently being conducted showing promising result yet not conclusive.
141,review summarized clinical trials critically appraise usage remdesivir covid along publications related results clinical studies,This review summarized all such clinical trials to critically appraise the usage of Remdesivir against COVID 19 along with the publications related to the results of the clinical studies.
142,present regulatory aspect e emergency use authorization eya information molecule plausible mechanism also dealt,The present regulatory aspect i. e. Emergency Use Authorization (EYA) and information of molecule and plausible mechanism is also dealt.
143,covid infectious disease caused novel betacoronavirus belonging subgenus severe acute respiratory syndrome sars virus,"COVID-19 is an infectious disease caused by a novel beta-coronavirus, belonging to the same subgenus as the Severe Acute Respiratory Syndrome (SARS) virus."
