Title,Abstract
Hepatitis-B Vaccine Response in Inflammatory Bowel Disease Patients: A Systematic Review and Meta-analysis.,"BACKGROUND: Data on efficacy of hepatitis-B vaccine (HBV) in patients with inflammatory bowel disease (IBD) is limited. Our aim was to review the literature and perform meta-analysis of available studies to quantify efficacy of HBV in patients with IBD. METHODS: We conducted a comprehensive search of several databases (inception to July 2020) to identify studies evaluating efficacy of HBV in patients with IBD. Random effects model was used to calculate the pooled rates and I2 percentage values were used to assess the heterogeneity. RESULTS: A total of 14 studies (2375 patients) were included. Four data sets were available from 2 studies that compared HBV response in patients with IBD against healthy controls. The pooled odds ratio of HBV response in IBD patients was 0.13 (95% CI, 0.05-0.33, P = 0.001). The pooled proportion of adequate immune response (AIR) was 64% (95% CI, 55-72.1, P = 0.003) from 13 data sets, and effective immune response (EIR) was 39.7% (95% CI, 30.7-49.5, P = 0.04) from 10 data sets. CONCLUSION: Patients with IBD on immunosuppression demonstrated significantly reduced HBV response as compared with general population."
Requirement of a Booster Dose of Hepatitis B Vaccine in Children With Thalassemia After 5 Years of Primary Vaccination: A Prospective Study.,"OBJECTIVE: To determine anti-HBs antibody levels in multi-transfused children with beta-thalassemia major who had received primary hepatitis B vaccination >/=5 years ago, and to document their antibody response to a booster dose of hepatitis B vaccine. METHODS: We included 85 children each of beta-thalassemia major and age-matched healthy controls, who had completed primary hepatitis B vaccination >/=5 years ago. Participants were assessed for anti-HBs titres, and those with beta-thalassemia major who were seronegative (titres<10 mIU/mL) were administered a single booster dose of hepatitis B vaccine. CD4 counts, serum levels of IL-2 and IFN-g, and anti-HBs titres were evaluated at baseline and following booster dose of vaccine. RESULTS: Seroprotection rates for hepatitis B after an average (SD) duration of 10.8 (3.8) years of completion of primary immunization were significantly higher among children with beta thalassemia major compared to healthy controls (72.9% vs. 52.9%, P=0.007). All the 23 seronegative children with beta-thalassemia major achieved seroprotection after a single booster dose of hepatitis B vaccine. CONCLUSIONS: A single booster dose of hepatitis B vaccine after 5 years of primary immunization is adequate to provide seroprotection to multi-transfused children with beta-thalassemia major."
Heplisav-B in Prior Hepatitis B Vaccine Nonresponders: A Case Series.,"INTRODUCTION: Hepatitis B is a potentially deadly infection that can be acquired by exposure to infectious human blood or body fluids. While service members and others at occupational risk are routinely vaccinated to prevent hepatitis B, non-responders to this vaccine are at continued risk. Heplisav-B is a newer vaccine that may offer additional protection to those at risk. MATERIALS AND METHODS: Cases of hepatitis B vaccine non-responders who were given Heplisav-B after receiving six or more doses of standard hepatitis B vaccine were collected from existing health records within the military health system after Uniformed Services University of the Health Sciences Institutional Review Board review. RESULTS: Twelve of thirteen (92%) prior non-responders who were tested at least 1 month after completing the recombinant Heplisav-B vaccine series demonstrated seroprotection against hepatitis B. CONCLUSIONS: Ideally, all service members and other at-risk workers should be protected from hepatitis B. This case series suggests that prior non-responders are likely to gain protection from hepatitis B with Heplisav-B vaccination. A prospective trial is warranted for further evaluation of this potential indication."
"Hepatitis B birth vaccination, cohort study, Tunisia 2000-2017.","We aimed to compare the efficiency of the first dose of Hepatitis B (HB) vaccine: at Birth versus at 3 months and to evaluate the efficacy of HB vaccine. We conducted a cohort study in the governorate of Monastir. Vaccinated Cohort (VC) included populations receiving the first dose at 3 months (Protocol 1), and at birth (HepB-BD) (Protocol 2). First dose was followed by at least two doses. We collected, from January 2000 to December 2017, cases diagnosed by serological markers (hepatitis B surface antigen (HBsAg) and anti-HBc). We calculated Absolute Risk (AR) per 100,000 PY and the Relative risk reduction (RRR). Twenty-five cases were notified among VC and 1501 cases among not vaccinated cohort (NVC). Twenty-three cases were notified among the cohort receiving the first dose at 3 months and two cases in Protocol 2. The AR per 100,000 PY was 5.67 (CI95%: 3.36-7.99) in Protocol 1 and 0.11 (CI95%: 0.001-0.26) in Protocol 2. The RRR was 77% (95% CI: 66; 85) in Protocol 1 and 99.4% (95% CI: 97.8; 99.9) in Protocol 2. We identified 4 HB cases for children aged between 5 and 11 who benefited from protocol 1 (born between 2000 and 2006) and zero cases for children of the same age group benefiting from protocol 2 (born between 2011 and 2017). The annual number of HB has decreased from 112 in 2000 to 48 in 2017. We predicted 40 new cases of HB in 2030. HepB-BD was 99.4% effective at preventing HB. The continuity of HepB-BD worldwide would achieve WHO's goal of eliminating HB as a threat to health by 2050. ABBREVIATIONS: AR: Absolute Risk; ARR: Absolute Risk Reduction; G1: Group1; G2: Group2; HB: Hepatitis B; HepB-BD: Hepatitis B Birth Dose; MENA: Middle East and North Africa; NNV: Number Needed to Vaccine; HIV: Human Immunodeficiency Virus; NVC: Not Vaccinated Cohort; PY: Person Year; RRR: Relative Risk Reduction; RR: Relative Risk; VC: Vaccinated Cohort; WHO: World Health Organization."
"Vitamin D and the hepatitis B vaccine response: a prospective cohort study and a randomized, placebo-controlled oral vitamin D3 and simulated sunlight supplementation trial in healthy adults.","PURPOSE: To determine serum 25(OH)D and 1,25(OH)2D relationship with hepatitis B vaccination (study 1). Then, to investigate the effects on hepatitis B vaccination of achieving vitamin D sufficiency (serum 25(OH)D >/= 50 nmol/L) by a unique comparison of simulated sunlight and oral vitamin D3 supplementation in wintertime (study 2). METHODS: Study 1 involved 447 adults. In study 2, 3 days after the initial hepatitis B vaccination, 119 men received either placebo, simulated sunlight (1.3 x standard-erythema dose, 3 x /week for 4 weeks and then 1 x /week for 8 weeks) or oral vitamin D3 (1000 IU/day for 4 weeks and 400 IU/day for 8 weeks). We measured hepatitis B vaccination efficacy as percentage of responders with anti-hepatitis B surface antigen immunoglobulin G >/= 10 mIU/mL. RESULTS: In study 1, vaccine response was poorer in persons with low vitamin D status (25(OH)D </= 40 vs 41-71 nmol/L mean difference [95% confidence interval] - 15% [- 26, - 3%]; 1,25(OH)2D </= 120 vs >/= 157 pmol/L - 12% [- 24%, - 1%]). Vaccine response was also poorer in winter than summer (- 18% [- 31%, - 3%]), when serum 25(OH)D and 1,25(OH)2D were at seasonal nadirs, and 81% of persons had serum 25(OH)D < 50 nmol/L. In study 2, vitamin D supplementation strategies were similarly effective in achieving vitamin D sufficiency from the winter vitamin D nadir in almost all (~ 95%); however, the supplementation beginning 3 days after the initial vaccination did not effect the vaccine response (vitamin D vs placebo 4% [- 21%, 14%]). CONCLUSION: Low vitamin D status at initial vaccination was associated with poorer hepatitis B vaccine response (study 1); however, vitamin D supplementation commencing 3 days after vaccination (study 2) did not influence the vaccination response. CLINICAL TRIAL REGISTRY NUMBER: Study 1 NCT02416895; https://clinicaltrials.gov/ct2/show/study/NCT02416895 ; Study 2 NCT03132103; https://clinicaltrials.gov/ct2/show/NCT03132103 ."
The Improvement of Immune Effect of Recombinant Human Beta-Defensin 2 on Hepatitis B Vaccine in Mice.,"Immunization with hepatitis B vaccine is an effective measure for prevention and control of hepatitis B Virus (HBV) infection. Although lots of efforts to improve the effect of hepatitis B vaccine have been made, the function of human beta defensin 2 (hBD2) on hepatitis B vaccine keeps unclear. In this article, we report that hBD2 not only promoted the activation and maturation of immature dendritic cells (iDCs) by increasing MHC II and CD86 expression, but it also significantly upregulated the mRNA level of IL-6 and IL-12B in mouse bone marrow-derived dendritic cells. The serum concentrations of IFN-gamma in mice stimulated with 300 ng hBD2 increased from 25.21 to 42.04 pg/mL, with a time extension from 4 to 12 h post-injection. During the process of three times immunization (1, 14, 28 days) with 3 mug hepatitis B vaccine combined with or without 300 ng hBD2 with a 2 week interval in BALB/c mice, the antibody against HBsAg (HBsAb) concentration in serum at every time point of observation in the combined group was statistically higher than the hepatitis B vaccine group. The serum concentration of IgG2a subclass HBsAb on the 14th day post last injection in the combined group was significantly higher than the hepatitis B vaccine group. Further, the splenic cells from the mice treated with both hBD2 and hepatitis B vaccine possessed a greater ability to produce a surface antigen of hepatitis B virus (HBsAg) specific IFN-gamma than those treated with hepatitis B vaccine alone. The percentages of CD3(+)/CD4(+) T cells and CD3(+)/CD8(+) T lymphocytes in spleens from the mice treated with 300 ng hBD2 were statistically higher than the phosphate buffered saline group. These data suggest that hBD2 improves iDC maturation and the immune efficiency of hepatitis B vaccine in BALB/c mice."
Hepatitis B Vaccination Uptake Rate and Predictors in Healthcare Professionals of Ethiopia.,"Introduction: Healthcare professionals continue to be at risk of acquiring occupation-related hepatitis B virus infection because of noncompliance for the 3-dose primary series of hepatitis B vaccine recommended. The objective of the study was to determine the rate of and to identify the predictors of hepatitis B vaccination uptake in healthcare professionals in Ethiopia. Methods: A multicenter cross-sectional survey was conducted between May 19 2018 and June 15 2018. A stratified with systematic random sampling technique was used to select 260 healthcare professionals. A structured questionnaire was used to collect all the necessary primary data from samples. This survey analyzed hepatitis B vaccination uptake as the binary outcome variable (""noncomplete"" vs ""complete"") with regard to the 30 potential predictor variables. Both descriptive and inferential statistical analysis techniques have been used to address the study objective. Results: The rate of complete vs noncomplete hepatitis B vaccination uptake was 37.7% vs 62.3%. The significantly independent predictors of hepatitis B vaccination uptake were professional qualification (P=0.004), professional experience (P=0.013), household income (P=0.006), workload status (P=0.015), routine infant immunization program existence at the workplace (P=0.014), perceived susceptibility to infection (P=0.005), perceived safety of vaccine (P=0.001), prior occupational exposure to blood (P=0.006), training on universal precautions (P=0.015), and colleagues' suggestion (P=0.002). Conclusion: The rate of hepatitis B vaccination uptake found was currently low. The significantly independent predictors of hepatitis B vaccination uptake included perceived safety, colleagues' suggestion, professional qualification, perceived susceptibility, household income, prior occupational exposure to blood, professional experience, existence of routine infant immunization program at the workplace facility, workload status, and universal precautions training."
Factors influencing the durability of hepatitis B vaccine responses.,"The World Health Organization recommends the implementation of universal hepatitis B (HB) vaccination, and global coverage for this vaccine reached 84% in 2015. In Japan, the policy aimed at preventing mother-to-child transmission of HB virus (HBV) initially commenced as a specific vaccination program for infants born to mothers who were positive for HB surface antigen. In 2016, universal HB vaccination was implemented in this country to cover unvaccinated individuals at risk of horizontal HBV transmission. Although HB vaccination has been shown to be highly efficacious and safe, the issues of vaccine non-responders and of the loss of antibodies directed against HB surface antigen (anti-HBs) in HB vaccine recipients remain. To gain better insight into these problems, we previously performed an immunological analysis on adult vaccine recipients after they received an initial HB vaccination. We found that the course of successful HB vaccination is composed of the following distinct phases: 1) acquisition of anti-HBs antibody, 2) attainment of high anti-HBs antibody titers, and 3) maintenance of acquired anti-HBs antibody levels. In this review, we describe the significance of HB vaccination and suggest a potential means of improving the impact of HB vaccination based on our immunological analysis."
Hepatitis B Vaccine Non-Responders Show Higher Frequencies of CD24(high)CD38(high) Regulatory B Cells and Lower Levels of IL-10 Expression Compared to Responders.,"Background: The cellular mechanisms involved in the lack of protective antibody response after hepatitis B vaccination are still rather unclear. Regulatory B cells (Breg) known as modulators of B-and T-cell responses may contribute to poor vaccine responsiveness. The current study aimed to investigate the role of regulatory B cells (Breg) in hepatitis B vaccine non-responsiveness after immunization with second- or third-generation hepatitis B vaccines. Method: We performed comparative phenotypic and frequency analysis of Breg subsets (CD24(+)CD27(+) and CD24(high)CD38(high) Breg) in second-generation hepatitis B vaccine non-responders (2(nd) HBvac NR, n = 11) and responders (2(nd) HBvac R, n = 8) before (d0), on day 7 (d7), and 28 (d28) after booster vaccination. Cryopreserved peripheral blood mononuclear cells were stimulated ex vivo with a combination of CpG, PMA, and Ionomycin (CpG+P/I) and analyzed for numbers and IL-10 expression levels of Breg by flow cytometry-based analyses. Results: Flow cytometry-based analyses revealed elevated frequencies of CD24(+)CD27(+) Breg at all time points and significantly higher frequencies of CD24(high)CD38(high) Breg on d0 (p = 0.004) and 28 (p = 0.012) in 2(nd) HBvac NR compared to 2(nd) HBvac R. In parallel, we observed significantly lower levels of CpG+P/I-induced IL-10 expression levels of CD24(+)CD27(+) and CD24(high)CD38(high) Breg (d0: p < 0.0001; d7: p = 0.0004; d28: p = 0.0003 and d0: p = 0.016; d7: p = 0.016, respectively) in 2(nd) HBvac NR compared to 2(nd) HBvac R before and after booster immunization. Frequencies of CD24(+)CD27(+) and CD24(high)CD38(high) Breg significantly decreased after third-generation hepatitis B booster vaccination (d7: p = 0.014; d28: p = 0.032 and d7: p = 0.045, respectively), whereas IL-10 expression levels of both Breg subsets remained stable. Conclusion: Here we report significantly higher frequencies of CD24(high)CD38(high) Breg in parallel with significantly lower IL-10 expression levels of CD24(+)CD27(+) and CD24(high)CD38(high) Breg in 2(nd) HBvac NR compared to 2(nd) HBvac R. Anti-HBs seroconversion accompanied by a decrease of Breg numbers after booster immunization with a third-generation hepatitis B vaccine could indicate a positive effect of third-generation hepatitis B vaccines on Breg-mediated immunomodulation in hepatitis B vaccine non-responders."
Social and behavioral determinants of attitudes towards and practices of hepatitis B vaccine birth dose in Vietnam.,"BACKGROUND: Hepatitis B virus (HBV) infection is a significant public health issue in Vietnam. Our goal was to understand the determinants of attitudes towards and practices of hepatitis B vaccine birth dose (HepB-BD) in certain regions of Vietnam. METHOD: A rapid qualitative assessment was conducted in three geographically diverse provinces that reported low coverage (<50%) of HepB-BD. Using purposive sampling of participants, 29 focus group discussions and 20 in-depth interviews were held with caregivers (n = 96), healthcare providers (n = 75), and healthcare administrators (n = 16). Summary notes from these were translated, and inductive coding was used to derive themes. The SAGE Vaccine Hesitancy Determinants Matrix was used as a theoretical framework to organize barriers and facilitators associated with the themes into three levels of influence. RESULTS: At the individual and group level, caregivers who had higher levels of knowledge about HepB-BD sought the vaccine proactively, while others with lower knowledge faced barriers to the vaccine. Some caregivers reported a negative attitude toward health services because of a language barrier or had generalized concerns about HepB-BD due to media reporting of the past adverse events. Distress arising from potential adverse events was equally common among healthcare providers. At the contextual level, the physical environment made it difficult for caregivers to access healthcare facilities and for providers to conduct outreach. Home births posed a challenge for timely administration of HepB-BD, while health facility births facilitated it. Vaccination-specific barriers included misinterpretation of pre-vaccination screening criteria and asking for the consent of caregivers. Inadequate resources for service delivery negatively influenced HepB-BD attitudes and practices. CONCLUSION: Given the diversity of barriers associated with attitudes towards and practices of HepB-BD in the three provinces, tailored interventions will be necessary for both demand- and supply-side factors. Rural areas, often with more home births and geographic barriers, may require focused attention."
Hepatitis B Vaccine Refusal in the Newborn Period.,"Perinatal hepatitis B (HepB) infection is a serious condition in the pediatric population, with up to 90% of exposed infants progressing to chronic infection. The cornerstone of prevention is the birth dose of the HepB vaccine. In 2018, the Advisory Committee on Immunization Practices updated their guidelines for the birth dose of the HepB vaccine. These new guidelines included a refined timeline on when the HepB vaccine should be given, including for infants born to women with known HepB infection, unknown HepB status, and universal guidelines regardless of maternal HepB status. However, despite these guidelines, up to 25% of infants do not receive the birth dose of HepB vaccine. Individual provider commitment to administration of the vaccine remains fundamental, but institutional policies also have significant influence in ensuring appropriate vaccine administration for infants. [Pediatr Ann. 2021;50(8):e343-e347.]."
Afucosylated IgG characterizes enveloped viral responses and correlates with COVID-19 severity.,"Immunoglobulin G (IgG) antibodies are crucial for protection against invading pathogens. A highly conserved N-linked glycan within the IgG-Fc tail, which is essential for IgG function, shows variable composition in humans. Afucosylated IgG variants are already used in anticancer therapeutic antibodies for their increased activity through Fc receptors (FcgammaRIIIa). Here, we report that afucosylated IgG (approximately 6% of total IgG in humans) are specifically formed against enveloped viruses but generally not against other antigens. This mediates stronger FcgammaRIIIa responses but also amplifies brewing cytokine storms and immune-mediated pathologies. Critically ill COVID-19 patients, but not those with mild symptoms, had high concentrations of afucosylated IgG antibodies against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), amplifying proinflammatory cytokine release and acute phase responses. Thus, antibody glycosylation plays a critical role in immune responses to enveloped viruses, including COVID-19."
