Title,Abstract
New Therapeutics for Hepatitis B: The Road to Cure.,"Chronic hepatitis B virus (HBV) infection impacts an estimated 257-291 million people globally. The current approach to treatment for chronic HBV infection is complex, reflecting a risk:benefit approach driven by the lack of an effective curative regimen. This complexity and the lack of a durable treatment response, necessitating indefinite treatment in the majority of cases, have resulted in low uptake of testing and treatment, particularly in regions where comprehensive primary care is lacking and access to affordable testing and treatment is limited. Multiple targeted therapies are now in early human study with the primary goal to achieve persistent HBV DNA and hepatitis B surface antigen suppression after a finite course of treatment, which is referred to as functional cure. This article summarizes the current therapies for HBV infection and discusses the limitations of these therapies, novel approaches to HBV cure, and therapeutic endpoints of clinical trials aimed to cure hepatitis B."
"Hepatitis B Core-Related Antigen to Indicate High Viral Load: Systematic Review and Meta-Analysis of 10,397 Individual Participants.","BACKGROUND & AIMS: To eliminate hepatitis B virus (HBV) infection, scale-up of testing and treatment in resource-limited countries is crucial. However, access to nucleic acid testing to quantify HBV DNA, an essential test to examine treatment eligibility, remains severely limited. We assessed the performance of a novel immunoassay, HBV core-related antigen (HBcrAg), as a low-cost (less than US $15/assay) alternative to nucleic acid testing to indicate clinically important high viremia in chronic HBV patients infected with different genotypes. METHODS: We searched Medline, Embase, Scopus, and Web of Science databases through June 27, 2018. Three reviewers independently selected studies measuring HBV DNA and HBcrAg in the same blood samples. We contacted authors to provide individual participant data (IPD). We randomly allocated each IPD to a derivation or validation cohort. We applied optimal HBcrAg cut-off values derived from the derivation set to the validation set to estimate sensitivity/specificity. RESULTS: Of 74 eligible studies, IPD were obtained successfully for 60 studies (81%). Meta-analysis included 5591 IPD without antiviral therapy and 4806 treated with antivirals. In untreated patients, the pooled area under the receiver operating characteristic curve and optimal cut-off values were as follows: 0.88 (95% CI, 0.83-0.94) and 3.6 log U/mL to diagnose HBV DNA level of 2000 IU/mL or greater; and 0.96 (95% CI, 0.94-0.98) and 5.3 log U/mL for 200,000 IU/mL or greater, respectively. In the validation set, the sensitivity and specificity were 85.2% and 84.7% to diagnose HBV DNA level of 2000 IU/mL or greater, and 91.8% and 90.5% for 200,000 IU/mL or greater, respectively. The performance did not vary by HBV genotypes. In patients treated with anti-HBV therapy the correlation between HBcrAg and HBV DNA was poor. CONCLUSIONS: HBcrAg might be a useful serologic marker to indicate clinically important high viremia in treatment-naive, HBV-infected patients."
Treatment of hepatitis B virus infection in chronic infection with HBeAg-positive adult patients (immunotolerant patients): a systematic review.,"Recently, a controversial approach suggesting the early treatment of chronic infection with hepatitis B ""e"" antigen-positive patients with hepatitis B virus (HBV) infection, has been proposed. The objective of this study is to systematically review medical literature regarding treatment of HBV infection in adult chronic infection with HBeAg-positive patients. A systematic review was performed according to the recommendations of the Preferred Reporting Items for Systematic Reviews and Meta-Analysis statement. Original studies that evaluated the effect of antivirals in adult chronic infection with HBeAg-positive patients were included. The outcomes of interest were viral load suppression, the loss/seroconversion of HBeAg, the loss/seroconversion of hepatitis B surface antigen, and the development of cirrhosis or hepatocellular carcinoma. The search for eligible studies was performed in Excerpta Medica dataBASE, PubMed and Cochrane databases until January 2020, without language or date restriction. The risk of bias was evaluated using the Newcastle-Ottawa Scale for observational studies and the Revised Cochrane Risk-of-Bias Tool for randomized controlled trials. Two hundred ninety-six articles were retrieved. After analyzing titles and abstracts, 287 articles were excluded and nine were considered potentially eligible. From these, five were excluded after full-text analysis. Finally, four articles were included. Only two were randomized controlled trials. All studies were carried out in Asian patients. Results were variable with regard to viral load, negativation/seroconversion of HBeAg and HBsAg. One study demonstrated that treated patients developed cirrhosis or hepatocellular carcinoma less frequently than untreated individuals. Overall, the studies were of poor quality. In conclusion, the present systematic review demonstrated that, at present, there is not enough evidence to recommend treating this population of patients."
"Cost-Effectiveness of Testing and Treatment for Hepatitis B Virus and Hepatitis C Virus Infections: An Analysis by Scenarios, Regions, and Income.","OBJECTIVES: Testing and treatment for hepatitis B virus (HBV) and hepatitis C virus (HCV) infection are highly effective, high-impact interventions. This article aims to estimate the cost-effectiveness of scaling up these interventions by scenarios, regions, and income groups. METHODS: We modeled costs and impacts of hepatitis elimination in 67 low- and middle-income countries from 2016 to 2030. Costs included testing and treatment commodities, healthcare consultations, and future savings from cirrhosis and hepatocellular carcinomas averted. We modeled disease progression to estimate disability-adjusted life-years (DALYs) averted. We estimated incremental cost-effectiveness ratios (ICERs) by regions and World Bank income groups, according to 3 scenarios: flatline (status quo), progress (testing/treatment according to World Health Organization guidelines), and ambitious (elimination). RESULTS: Compared with no action, current levels of testing and treatment had an ICER of $807/DALY for HBV and -$62/DALY (cost-saving) for HCV. Scaling up to progress scenario, both interventions had ICERs less than the average gross domestic product/capita of countries (HBV: $532/DALY; HCV: $613/DALY). Scaling up from flatline to elimination led to higher ICERs across countries (HBV: $927/DALY; HCV: $2528/DALY, respectively) that remained lower than the average gross domestic product/capita. Sensitivity analysis indicated discount rates and commodity costs were main factors driving results. CONCLUSIONS: Scaling up testing and treatment for HBV and HCV infection as per World Health Organization guidelines is a cost-effective intervention. Elimination leads to a much larger impact though ICERs are higher. Price reduction strategies are needed to achieve elimination given the substantial budget impact at current commodity prices."
Abatacept treatment for patients with severe acute hepatitis caused by hepatitis B virus infection-Pilot study.,"Although glucocorticoids have been used for immunosuppression of patients with primary hepatitis B virus (HBV) infection-induced severe hepatitis, the treatment is associated with a high frequency of adverse events. We conducted a pilot study for evaluating the efficacy and safety of abatacept, a cytotoxic T lymphocyte antigen-4 immunoglobulin (CTLA4), for acute hepatitis B. Five patients with severe acute hepatitis B (prothrombin activity </= 60%) were treated for immunosuppression by abatacept. Four patients received abatacept concurrently with methylprednisolone, and another patient was treated with abatacept alone. Rapid decrease in serum alanine aminotransferase levels, increase in prothrombin activity and improvement of general condition were obtained in four out of five patients. The patient with the most severe hepatitis underwent liver transplantation due to exacerbation of hepatitis in spite of treatment with both abatacept and methylprednisolone. None of the patients developed significant adverse events associated with the use of abatacept. Hepatitis B surface antigen (HBsAg) became negative in all five patients. The effect of abatacept and methylprednisolone for severe hepatitis B was compared using a mouse model. Rapid reduction in mouse serum HBV DNA and human albumin levels and elevation of serum interferon-gamma and granzyme A levels were observed in HBV-infected human hepatocyte-transplanted immunodeficient mice that were administered human peripheral blood mononuclear cells. These hepatocyte injuries were inhibited to a greater extent by abatacept compared to methylprednisolone. Abatacept might be an effective therapy alternative to methylprednisolone to reduce acute massive liver damage for patients with severe acute hepatitis caused by HBV infection."
Efficacy and safety of antiviral prophylaxis during pregnancy to prevent mother-to-child transmission of hepatitis B virus: a systematic review and meta-analysis.,"BACKGROUND: To eliminate mother-to-child transmission (MTCT) of hepatitis B virus (HBV), peripartum antiviral prophylaxis might be required for pregnant women infected with HBV who have a high risk of MTCT despite infant immunoprophylaxis. We aimed to determine the efficacy and safety of peripartum antiviral prophylaxis to inform the 2020 WHO guidelines. METHODS: In this systematic review and meta-analysis, we searched PubMed, Embase, Scopus, CENTRAL, CNKI, and Wanfang for randomised controlled trials and non-randomised studies of peripartum antiviral prophylaxis versus placebo or no prophylaxis, with no language restriction, published from database inception until March 28, 2019. We used search terms covering HBV, antiviral therapy, and pregnancy. We included studies that enrolled pregnant women with chronic infection with HBV who received antiviral prophylaxis anytime during pregnancy; that included any of the following antivirals: adefovir, emtricitabine, entecavir, lamivudine, telbivudine, tenofovir alafenamide fumarate, and tenofovir disoproxil fumarate; and that reported the following outcomes: MTCT, indicated by infant HBsAg positivity or HBV DNA positivity, or both, at age 6-12 months, and any infant or maternal adverse events. Two reviewers independently extracted data. Our primary endpoint was MTCT based on infant HBsAg positivity. We assessed pooled odds ratios (ORs) of the efficacy of peripartum antiviral prophylaxis to reduce the risk of MTCT. We assessed safety of prophylaxis by pooling risk differences. The protocol for the systematic review was pre-registered in PROSPERO, CRD42019134614. FINDINGS: Of 7463 articles identified, 595 articles were eligible for full-text review and 129 studies (in 157 articles) were included. The following antivirals were assessed in the meta-analysis: tenofovir disoproxil fumarate 300 mg (19 studies, with 1092 mothers and 1072 infants), lamivudine 100-150 mg (40 studies, with 2080 mothers and 2007 infants), and telbivudine 600 mg (83 studies, with 6036 mothers and 5971 infants). The pooled ORs for randomised controlled trials were similar, at 0.10 (95% CI 0.03-0.35) for tenofovir disoproxil fumarate, 0.16 (0.10-0.26) for lamivudine, and 0.14 (0.09-0.21) for telbivudine. The pooled ORs in non-randomised studies were 0.17 (0.10-0.29) for tenofovir disoproxil fumarate, 0.17 (0.12-0.24) for lamivudine, and 0.09 (0.06-0.12) for telbivudine. We found no increased risk of any infant or maternal safety outcomes after peripartum antiviral prophylaxis. INTERPRETATION: Peripartum antiviral prophylaxis is highly effective at reducing the risk of HBV MTCT. Our findings support the 2020 WHO recommendation of administering antivirals during pregnancy, specifically tenofovir disoproxil fumarate, for the prevention of HBV MTCT. FUNDING: World Health Organization."
"The global impact of the COVID-19 pandemic on the prevention, diagnosis and treatment of hepatitis B virus (HBV) infection.","The COVID-19 pandemic caused by the SARS-CoV-2 virus has resulted in a myriad of interventions with the urgent aim of reducing the public health impact of this virus. However, a wealth of evidence both from high-income and low-income countries is accruing on the broader consequences of such interventions on economic and public health inequalities, as well as on pre-existing programmes targeting endemic pathogens. We provide an overview of the impact of the ongoing COVID-19 pandemic on hepatitis B virus (HBV) programmes globally, focusing on the possible consequences for prevention, diagnosis and treatment. Ongoing disruptions to infrastructure, supply chains, services and interventions for HBV are likely to contribute disproportionately to the short-term incidence of chronic hepatitis B, providing a long-term source of onward transmission to future generations that threatens progress towards the 2030 elimination goals."
Low risk of hepatitis B reactivation in patients with severe COVID-19 who receive immunosuppressive therapy.,"A significant proportion of patients infected with SARS-CoV-2 develop severe respiratory symptoms due to an excessive immune response. Treatment of this condition may include immunosuppressive therapies, such as IL-6 receptor antagonists and corticosteroids, which pose a risk for patients with active or past hepatitis B virus (HBV) infection. In this prospective cohort study, we analysed the risk of HBV reactivation in patients with severe COVID-19 and resolved HBV infection undergoing immunosuppressive therapy. From 15th March to 30th April 2020, 600 patients with severe COVID-19 were admitted to our hospital and treated with immune modulators. Data regarding HBV infection were available in 484, of whom 69 (14%) were HBsAg negative/anti-HBc positive. For these patients, HBV reactivation prophylaxis with entecavir was strongly recommended. Complete follow-up was available in 61 patients: 72% were male, median age was 67 years, and anti-HBs was >10 IU/mL in 72%. The immunosuppressive drug most used was tocilizumab (72%). Despite HBV prophylaxis recommendation, 38 (62%) patients received entecavir and 23 (38%) did not. Baseline features of both groups were similar. At follow-up, we found no cases of HBsAg seroreversion and only 2 (3%) patients (no prophylaxis group) had detectable serum HBV-DNA (<15 IU/mL). Both were anti-HBs negative and had normal aminotransferase levels. Our data show that the risk of HBV reactivation in patients with severe COVID-19 and resolved HBV infection undergoing immunosuppressive treatment is low. However, if a systematic follow-up after hospital discharge is unfeasible in patients without anti-HBs, a short course of antiviral prophylaxis may be a safe option."
Assessment and Simplification of Treatment Eligibility Among Patients With Chronic Hepatitis B Infection in Vietnam.,"BACKGROUND: Treatment eligibility and the accuracy of its simplified criteria have been poorly documented in patients with chronic hepatitis B virus (HBV) infection worldwide, especially in low- and middle-income countries. METHODS: From a cohort of HBV-infected patients in Vietnam, we assessed the proportion of patients eligible for treatment using the national guidelines based on reference tests (HBV DNA quantification and FibroScan); and the accuracy of simplified treatment criteria free from HBV DNA and FibroScan (Treatment Eligibility in Africa for the Hepatitis B Virus [TREAT-B] score and simplified World Health Organization [WHO] criteria) to select patients for antiviral therapy using the national guidelines as a reference. RESULTS: We analyzed 400 consecutive treatment-naive HBV-monoinfected patients: 49% males, median age 38 years (range, 18-86), 32% hepatitis B e antigen-positive, median HBV DNA 4.8 log10 IU/mL (undetectable -8.4), median FibroScan 5.3 kPa (3.0-67.8), and 25% having significant liver fibrosis including 12% with cirrhosis. Of these, 167 (42%) fulfilled treatment criteria according to national guidelines. Using the national criteria as a reference, the performance of TREAT-B to select patients for treatment was high (area under the receiver operating characteristic [AUROC], 0.89 [95% confidence interval 0.87-0.92]) with a sensitivity of 74.3% and a specificity of 88.4%. In a subset of patients with 2 alanine aminotransferase measurements over a 6-month period (n = 89), the AUROC of TREAT-B was significantly higher than that of the simplified WHO criteria (P < .001). CONCLUSIONS: Our study suggests that a large proportion of patients with chronic HBV infection require antiviral therapy in Vietnam. Compared with the simplified WHO criteria free from HBV DNA quantification, TREAT-B is a better alternative to easily indicate treatment eligibility and might help scale up treatment intervention in Vietnam."
Treatment and Prevention of Acute Hepatitis B Virus.,"This article reviews the incidence of acute hepatitis B virus (HBV) infection, its clinical course, strategies to prevent acute HBV infection in susceptible individuals, and the management of patients with acute HBV."
"Tenofovir Alafenamide to Prevent Perinatal Hepatitis B Transmission: A Multicenter, Prospective, Observational Study.","BACKGROUND: Few safety and effectiveness results have been published regarding the administration of tenofovir alafenamide fumarate (TAF) during pregnancy for the prevention of mother-to-child transmission (MTCT) of hepatitis B virus (HBV). METHODS: In this multicenter prospective observational study, pregnant women with HBV DNA levels higher than 200 000 IU/mL who received TAF or tenofovir disoproxil fumarate (TDF) from gestational weeks 24-35 to delivery were 1:1 enrolled and followed until postpartum month 6. Infants received immunoprophylaxis. The primary endpoint was the safety of mothers and infants. The secondary endpoint was the hepatitis B surface antigen (HBsAg)-positive rate at 7 months for infants. RESULTS: In total, 116 and 116 mothers were enrolled, and 117 and 116 infants were born, in the TAF and TDF groups, respectively. TAF was well tolerated during a mean treatment duration of 11.0 weeks. The most common maternal adverse event was nausea (19.0%). One (0.9%), 3 (2.6%), and 9 (7.8%) mothers had abnormal alanine aminotransferase levels at delivery and at postpartum months 3 and 6, respectively. The TDF group had safety profiles that were comparable to those of the TAF group. No infants had birth defects in either group. The infants' physical and neurological development at birth and at 7 months in the TAF group were comparable with those in the TDF group. The HBsAg positive rate was 0% at 7 months in all 233 infants. CONCLUSIONS: Antiviral prophylaxis with TAF was determined to be generally safe for both mothers and infants and reduced the MTCT rate to 0%."
