Title,Abstract
[Comment] COVID19 vaccine safety.,"In response to the SARSCoV2 outbreak, and the resulting COVID19 pandemic, a global competition to develop an antiCOVID19 vaccine has ensued. The targeted time frame for initial vaccine deployment is late 2020. The present article examines whether shortterm, midterm, and longterm vaccine safety can be achieved under such an accelerated schedule, given the myriad vaccineinduced mechanisms that have demonstrated adverse effects based on previous clinical trials and laboratory research. It presents scientific evidence of potential pitfalls associated with eliminating critical phase II and III clinical trials, and concludes that there is no substitute currently available for longterm human clinical trials to ensure longterm human safety."
Coronavirus vaccine development: from SARS and MERS to COVID-19.,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) is a new type of coronavirus that causes the Coronavirus Disease 2019 (COVID-19), which has been the most challenging pandemic in this century. Considering its high mortality and rapid spread, an effective vaccine is urgently needed to control this pandemic. As a result, the academia, industry, and government sectors are working tightly together to develop and test a variety of vaccines at an unprecedented pace. In this review, we outline the essential coronavirus biological characteristics that are important for vaccine design. In addition, we summarize key takeaways from previous vaccination studies of Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) and Middle East Respiratory Syndrome Coronavirus (MERS-CoV), highlighting the pros and cons of each immunization strategy. Finally, based on these prior vaccination experiences, we discuss recent progress and potential challenges of COVID-19 vaccine development."
Non-viral COVID-19 vaccine delivery systems.,"The novel corona virus termed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread throughout the globe at a formidable speed, causing tens of millions of cases and more than one million deaths in less than a year of its report in December 2019. Since then, companies and research institutions have raced to develop SARS-CoV-2 vaccines, ranging from conventional viral and protein-based vaccines to those that are more cutting edge, including DNA- and mRNA-based vaccines. Each vaccine exhibits a different potency and duration of efficacy, as determined by the antigen design, adjuvant molecules, vaccine delivery platforms, and immunization method. In this review, we will introduce a few of the leading non-viral vaccines that are under clinical stage development and discuss delivery strategies to improve vaccine efficacy, duration of protection, safety, and mass vaccination."
Evaluation of COVID-19 Vaccine Refusal in Parents.,"OBJECTIVE: The frequency of vaccine refusal, which is associated with many factors, is increasing worldwide. The aim of this study was to predict the frequency of vaccine refusal against domestic and foreign COVID-19 vaccines and identify the factors underlying refusal. METHODS: A survey consisting of 16 questions about COVID-19 vaccination was conducted either face-to-face or online with 428 parents who agreed to participate in the study. The parents had children who were inpatients or outpatients in the Children's Hospital of Ankara City Hospital. In the survey, parents were asked about family sociodemographic characteristics, opinions on domestic and foreign COVID-19 vaccines, and reasons for vaccine refusal. RESULTS: While 66.1% of parents were reluctant to receive foreign COVID-19 vaccines, only 37.4% were reluctant to receive domestic COVID-19 vaccines. The participants' preference for the domestic vaccine was significantly higher for themselves and their children (P < 0.05). Women were less likely to be willing to receive foreign vaccines than men (P < 0.05). As the education level increased, fewer parents preferred the domestic vaccine for themselves (P = 0.046) and their children (P = 0.005). Both domestic and foreign vaccine acceptability for parents and their children was higher among parents with high anxiety levels regarding COVID-19 infection (P < 0.05). The most common reasons for refusal were anxiety about vaccine side effects, lack of knowledge about the effectiveness of vaccines, and distrust of vaccines originating from abroad. CONCLUSION: Most of the participants were hesitant about COVID-19 vaccines. This study demonstrates that vaccine uptake can be increased by considering the higher preference for domestic vaccines."
COVID-19 vaccine development: What lessons can we learn from TB?,"At the time of writing, the SARS-CoV-2 virus has infected more than 49 million people causing more than 1.2 million deaths worldwide since its emergence from Wuhan, China in December 2019. Vaccine development against SARS-CoV-2 has drawn the global attention in order to stop the spread of the virus, with more than 10 vaccines being tested in phase III clinical trials, as of November 2020. However, critical to vaccine development is consideration of the immunological response elicited as well as biological features of the vaccine and both need to be evaluated thoroughly. Tuberculosis is also a major infectious respiratory disease of worldwide prevalence and the vaccine development for tuberculosis has been ongoing for decades. In this review, we highlight some of the common features, challenges and complications in tuberculosis vaccine development, which may also be relevant for, and inform, COVID-19 vaccine development."
COVID-19 VACCINE IS HERE!!!,EDITORIAL.
Advances in gene-based vaccine platforms to address the COVID-19 pandemic.,"The novel betacoronavirus, SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2), has spread across the globe at an unprecedented rate since its first emergence in Wuhan City, China in December 2019. Scientific communities around the world have been rigorously working to develop a potent vaccine to combat COVID-19 (coronavirus disease 2019), employing conventional and novel vaccine strategies. Gene-based vaccine platforms based on viral vectors, DNA, and RNA, have shown promising results encompassing both humoral and cell-mediated immune responses in previous studies, supporting their implementation for COVID-19 vaccine development. In fact, the U.S. Food and Drug Administration (FDA) recently authorized the emergency use of two RNA-based COVID-19 vaccines. We review current gene-based vaccine candidates proceeding through clinical trials, including their antigenic targets, delivery vehicles, and route of administration. Important features of previous gene-based vaccine developments against other infectious diseases are discussed in guiding the design and development of effective vaccines against COVID-19 and future derivatives."
Efforts towards a COVID-19 vaccine.,"To many scientists and political authorities, the development of a vaccine against Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) will be the way to restore normality to civil life in this time of a devastating pandemic. Expectations for a vaccine are high while the case numbers continue to rise. As of mid-August 2020, more than 20 million people have been infected and more than 760 000 lives have been lost worldwide. The threat of this virus to health, the economy and to society is so great that the wish for a fast track vaccine is understandable, but how realistic is it? This survey article tries to give an overview of vaccine candidates in development, including preclinical and clinical testing, and it mentions some of the societal problems of vaccine acceptance."
Clinical Outcomes Of A COVID-19 Vaccine: Implementation Over Efficacy.,"The global effort to develop a coronavirus disease 2019 (COVID-19) vaccine is on track to produce one or more authorized vaccines. We examine how different definitions and thresholds of vaccine efficacy, coupled with different levels of implementation effectiveness and background epidemic severity, translate into outcomes including cumulative infections, hospitalizations, and deaths. Using a mathematical simulation of vaccination, we find that factors related to implementation will contribute more to the success of vaccination programs than a vaccine's efficacy as determined in clinical trials. The benefits of a vaccine will decline substantially in the event of manufacturing or deployment delays, significant vaccine hesitancy, or greater epidemic severity. Our findings demonstrate the urgent need for health officials to invest greater financial resources and attention to vaccine production and distribution programs, to redouble efforts to promote public confidence in COVID-19 vaccines, and to encourage continued adherence to other mitigation approaches, even after a vaccine becomes available."
COVID-19 - Recent advancements in identifying novel vaccine candidates and current status of upcoming SARS-CoV-2 vaccines.,"The COVID-19 pandemic caused by SARS-CoV-2 has spread rapidly. To date, countries have relied on the prevention of the disease through isolation, quarantine, and clinical care of affected individuals. However, studies on the roles of asymptomatic and mildly infected subjects in disease transmission, use of antiviral drugs, and vaccination of the general population will be very important for mitigating the effects of the eventual return of this pandemic. Initial investigations are ongoing to evaluate antigenic structures of SARS-CoV-2 and the immunogenicity of vaccine candidates. There also is a need to comprehensively compile the details of previous studies on SARS-related vaccines that can be extrapolated to identify potent vaccine targets for developing COVID-19 vaccines. This review aims to analyze previous studies, current status, and future possibilities for producing SARS-CoV-2 vaccines."
"The Advisory Committee on Immunization Practices' Interim Recommendation for Use of Pfizer-BioNTech COVID-19 Vaccine - United States, December 2020.","On December 11, 2020, the Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) for the Pfizer-BioNTech COVID-19 (BNT162b2) vaccine (Pfizer, Inc; Philadelphia, Pennsylvania), a lipid nanoparticle-formulated, nucleoside-modified mRNA vaccine encoding the prefusion spike glycoprotein of SARS-CoV-2, the virus that causes coronavirus disease 2019 (COVID-19) (1). Vaccination with the Pfizer-BioNTech COVID-19 vaccine consists of 2 doses (30 mug, 0.3 mL each) administered intramuscularly, 3 weeks apart. On December 12, 2020, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation* for use of the Pfizer-BioNTech COVID-19 vaccine in persons aged >/=16 years for the prevention of COVID-19. To guide its deliberations regarding the vaccine, ACIP employed the Evidence to Recommendation (EtR) Framework,(dagger) using the Grading of Recommendations, Assessment, Development and Evaluation (GRADE) approach.( section sign) The recommendation for the Pfizer-BioNTech COVID-19 vaccine should be implemented in conjunction with ACIP's interim recommendation for allocating initial supplies of COVID-19 vaccines (2). The ACIP recommendation for the use of the Pfizer-BioNTech COVID-19 vaccine under EUA is interim and will be updated as additional information becomes available."
Parents' and guardians' views on the acceptability of a future COVID-19 vaccine: A multi-methods study in England.,"BACKGROUND: The availability of a COVID-19 vaccine has been heralded as key to controlling the COVID-19 pandemic. COVID-19 vaccination programme success will rely on public willingness to be vaccinated. METHODS: We used a multi-methods approach - involving an online cross-sectional survey and semi-structured interviews - to investigate parents' and guardians' views on the acceptability of a future COVID-19 vaccine. 1252 parents and guardians (aged 16 + years) who reported living in England with a child aged 18 months or under completed the survey. Nineteen survey participants were interviewed. FINDINGS: Most survey participants reported they would likely accept a COVID-19 vaccine for themselves (Definitely 55.8%; Unsure but leaning towards yes 34.3%) and their child/children (Definitely 48.2%; Unsure but leaning towards yes 40.9%). Less than 4% of survey participants reported that they would definitely not accept a COVID-19 vaccine. Survey participants were more likely to accept a COVID-19 vaccine for themselves than their child/children. Participants that self-reported as Black, Asian, Chinese, Mixed or Other ethnicity were almost 3 times more likely to reject a COVID-19 vaccine for themselves and their children than White British, White Irish and White Other participants. Survey participants from lower-income households were also more likely to reject a COVID-19 vaccine. In open-text survey responses and interviews, self-protection from COVID-19 was reported as the main reason for vaccine acceptance. Common concerns identified in open-text responses and interviews were around COVID-19 vaccine safety and effectiveness, mostly prompted by the newness and rapid development of the vaccine. CONCLUSION: Information on how COVID-19 vaccines are developed and tested, including their safety and efficacy, must be communicated clearly to the public. To prevent inequalities in uptake, it is crucial to understand and address factors that may affect COVID-19 vaccine acceptability in ethnic minority and lower-income groups who are disproportionately affected by COVID-19."
Unilateral axillary Adenopathy in the setting of COVID-19 vaccine.,"With the recent U.S. Food and Drug Administration (FDA)-approval and rollout of the Pfizer-BioNTech and Moderna COVID-19 vaccines, it is important for radiologists to consider recent COVID-19 vaccination history as a possible differential diagnosis for patients with unilateral axillary adenopathy. Hyperplastic axillary nodes can be seen on sonography after any vaccination but are more common after a vaccine that evokes a strong immune response, such as the COVID-19 vaccine. As the differential of unilateral axillary adenopathy includes breast malignancy, it is crucial to both thoroughly evaluate the breast for primary malignancy and to elicit history of recent vaccination. As COVID-19 vaccines will soon be available to a larger patient population, radiologists should be familiar with the imaging features of COVID-19 vaccine induced hyperplastic adenopathy and its inclusion in a differential for unilateral axillary adenopathy. Short-term follow-up for unilateral axillary adenopathy in the setting of recent COVID-19 vaccination is an appropriate recommendation, in lieu of immediately performing potentially unnecessary and costly axillary lymph node biopsies."
Recombinant vaccines for COVID-19.,"SARS-CoV-2, the causative agent of COVID-19, has imposed a major public health threat, which needs effective therapeutics and vaccination strategies. Several potential candidate vaccines being rapidly developed are in clinical evaluation. Considering the crucial role of SARS-CoV-2 spike (S) glycoprotein in virus attachment, entry, and induction of neutralizing antibodies, S protein is being widely used as a target for vaccine development. Based on advances in techniques for vaccine design, inactivated, live-vectored, nucleic acid, and recombinant COVID-19 vaccines are being developed and tested for their efficacy. Phase3 clinical trials are underway or will soon begin for several of these vaccines. Assuming that clinical efficacy is shown for one or more vaccines, safety is a major aspect to be considered before deploying such vaccines to the public. The current review focuses on the recent advances in recombinant COVID-19 vaccine research and development and associated issues."
The demand for a COVID-19 vaccine in Ecuador.,"In Latin America, the country of Ecuador was one of the first and most severely affected by the COVID-19 pandemic. This study aimed to evaluate the demand for a COVID-19 vaccine in Ecuador by estimating individuals' willingness to pay (WTP) for the vaccine, and by assessing the effect of vaccine attributes (duration of protection and efficacy) and individuals' characteristics on this valuation. The sample used (N = 1,050) was obtained through an online survey conducted from April 2 to April 7, 2020. Two levels of vaccine efficacy (70% and 98%) and two levels of vaccine duration of protection (1 and 20 years) were considered. The willingness to pay estimates were obtained using a double-bounded dichotomous-choice contingent valuation format. Survey results show that a very large proportion of individuals (at least 97%) were willing to accept a COVID-19 vaccine, and at least 85% of individuals were willing to pay a positive amount for that vaccine. Conservative estimates of the average WTP values ranged from USD 147.61 to 196.65 and the median WTP from USD 76.9 to 102.5. Only the duration of protection was found to influence individuals' WTP for the vaccine (p < 0.01). On average, respondents were willing to pay 30% more for a COVID-19 vaccine with 20 years of protection relative to the vaccine with 1 year of protection. Regression results show that WTP for the vaccine was associated with income, employment status, the perceived probability of needing hospitalization if contracting the virus causing COVID-19, and region of residence."
A COVID-19 vaccine-dare to dream.,"The global desire to produce and deploy a safe and effective vaccine to protect against SARS-CoV-2 infection and the morbidity and mortality subsequent to COVID-19 is unprecedented. The unparalleled speed of research development and access to funding is perhaps equally unique in the history of therapeutic achievement. This article, the third in a series of dedicated to exploring the origins and developments of SARS-CoV-2 within the context of the strategies of infection prevention and control, investigates the theatre behind the extraordinary efforts underpinning the research for therapeutic interventions to halt the COVID-19 pandemic. The Chair of the UK Vaccine Taskforce has stated that the exit strategy depends on a vaccine that is effective in reducing mortality, improving population health by reducing serious disease and protecting the NHS and social care system. This article introduces the major COVID-19 vaccine contenders and considers the challenges and opportunities of an effective global vaccination strategy."
COVID-19 Vaccine and Biologics: An Impending Dilemma.,"The COVID-19 pandemic has forced healthcare providers across all specialties to adjust their methods of clinical practice. In Dermatology, focus on the continued safe usage of immunomodulating biologic therapies has attracted particular interest as the COVID-19 virus represents a novel infection risk. While guidance on biologic initiation and continuation has been established,1 the return to normalcy will likely involve a safe and effective vaccine. This vaccine(s) will represent a new clinical hurdle for prescribers who have continued patients on biologic therapy throughout the pandemic."
Viral targets for vaccines against COVID-19.,"Vaccines are urgently needed to control the coronavirus disease 2019 (COVID-19) pandemic and to help the return to pre-pandemic normalcy. A great many vaccine candidates are being developed, several of which have completed late-stage clinical trials and are reporting positive results. In this Progress article, we discuss which viral elements are used in COVID-19 vaccine candidates, why they might act as good targets for the immune system and the implications for protective immunity."
COVID-19 vaccine research and development: ethical issues.,"The achievements of vaccine research and development bring a hope to our societies that we may cope with the COVID-19 pandemic. There are two aspects that should be maintained in balance: the immediate necessity for speed of vaccine research and the inherent need for protection of research subjects, which is the foremost concern of research ethics. This narrative review highlights ethical issues in COVID-19 vaccine research and development that every stakeholder needs to be aware of and to consider."
Is there a role for childhood vaccination against COVID-19?,"Tremendous efforts are undertaken to quickly develop COVID-19 vaccines that protect vulnerable individuals from severe disease and thereby limit the health and socioeconomic impacts of the pandemic. Potential candidates are tested in adult populations, and questions arise of whether COVID-19 vaccination should be implemented in children. Compared to adults, the incidence and disease severity of COVID-19 are low in children, and despite their infectiveness, their role in disease propagation is limited. Therefore, COVID-19 vaccines will need to have fully demonstrated safety and efficacy in preventing not only complications but transmission to justify childhood vaccination. This work summarizes currently tested vaccine platforms and debates practical and ethical considerations for their potential use in children. It also discusses the already deleterious effect of the pandemic on routine childhood vaccine coverage, calling for action to limit the risks for a rise in vaccine-preventable diseases."
Impact of COVID-19 on women and children and the need for a gendered approach in vaccine development.,"The COVID-19 pandemic has imposed unprecedented health and socioeconomic challenges on public health, disrupting it on a global scale. Given that women and children are widely considered the most vulnerable in the times of emergency, whether in war or during a pandemic, the current pandemic has also severely disrupted access to reproductive and child health services. Despite this, data on the effect of the pandemic on pregnant women and newborns remain scarce, and gender-disaggregated indicators of mortality and morbidity are not available. In this context, we suggest the implementation of a gendered approach to ensure the specific needs of women and their newborns are considered during the development of COVID-19 vaccines. Taking into account gender-based biological differences, the inclusion of pregnant and lactating mothers in clinical trials for the development of COVID-19 vaccines is of vital importance."
"Allergic Reactions Including Anaphylaxis After Receipt of the First Dose of Pfizer-BioNTech COVID-19 Vaccine - United States, December 14-23, 2020.","As of January 3, 2021, a total of 20,346,372 cases of coronavirus disease 2019 (COVID-19) and 349,246 associated deaths have been reported in the United States. Long-term sequalae of COVID-19 over the course of a lifetime currently are unknown; however, persistent symptoms and serious complications are being reported among COVID-19 survivors, including persons who initially experience a mild acute illness.* On December 11, 2020, the Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) for Pfizer-BioNTech COVID-19 vaccine to prevent COVID-19, administered as 2 doses separated by 21 days. On December 12, 2020, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation for use of Pfizer-BioNTech COVID-19 vaccine (1); initial doses were recommended for health care personnel and long-term care facility residents (2). As of December 23, 2020, a reported 1,893,360 first doses of Pfizer-BioNTech COVID-19 vaccine had been administered in the United States, and reports of 4,393 (0.2%) adverse events after receipt of Pfizer BioNTech COVID-19 vaccine had been submitted to the Vaccine Adverse Event Reporting System (VAERS). Among these, 175 case reports were identified for further review as possible cases of severe allergic reaction, including anaphylaxis. Anaphylaxis is a life-threatening allergic reaction that does occur rarely after vaccination, with onset typically within minutes to hours (3). Twenty-one cases were determined to be anaphylaxis (a rate of 11.1 per million doses administered), including 17 in persons with a documented history of allergies or allergic reactions, seven of whom had a history of anaphylaxis. The median interval from vaccine receipt to symptom onset was 13 minutes (range = 2-150 minutes). Among 20 persons with follow-up information available, all had recovered or been discharged home. Of the remaining case reports that were determined not to be anaphylaxis, 86 were judged to be nonanaphylaxis allergic reactions, and 61 were considered nonallergic adverse events. Seven case reports were still under investigation. This report summarizes the clinical and epidemiologic characteristics of case reports of allergic reactions, including anaphylaxis and nonanaphylaxis allergic reactions, after receipt of the first dose of Pfizer-BioNTech COVID-19 vaccine during December 14-23, 2020, in the United States. CDC has issued updated interim clinical considerations for use of mRNA COVID-19 vaccines currently authorized in the United States (4) and interim considerations for preparing for the potential management of anaphylaxis (5). In addition to screening for contraindications and precautions before administering COVID-19 vaccines, vaccine locations should have the necessary supplies available to manage anaphylaxis, should implement postvaccination observation periods, and should immediately treat persons experiencing anaphylaxis signs and symptoms with intramuscular injection of epinephrine (4,5)."
COVID-19 Vaccines: Current Status and Implication for Use in Indonesia.,"The coronavirus disease 2019 (COVID-19) has inflicted catastrophic damages in public health, economic and social stability-putting life globally on hold in 2020 and presumably a year more. Indonesia bears a heavy burden of the pandemic, counting the highest case prevalence and fatality rate in all of Southeast Asia. One hope remains in the groundbreaking universal effort in search of a vaccine against the causative virus SARS-CoV-2, which has shown success unparalleled in human vaccine development thus far. An array of modalities including novel techniques are being utilized as vaccine platforms, with the closest to phase III clinical trial completion being mRNA (manufactured by Moderna and BioNTech/Pfizer), inactivated virus (Sinovac, Sinopharm), viral vector (Oxford/AstraZeneca, Gamaleya, Janssen/Johnson&Johnson, CanSino), and protein subunit (Novavax). The vaccine produced by BioNTech/Pfizer has been deployed to the public as the first ever licensed COVID-19 vaccine. In this review, we will review all of these modalities on their safety and immunogenicity, phase II/III trial results of the nine vaccine candidates and current situation as of 29 December 2020, as well as the implication for use and distribution in Indonesia. COVID-19 vaccine progress, however, is moving exceedingly fast and new advances are unfolding on a daily basis, to which we hope an update to this review can be published in early 2021."
