Title,Abstract
"Coronavirus disease 2019 (COVID-19): An overview of the immunopathology, serological diagnosis and management.","SARS-CoV-2 is a novel human coronavirus responsible for the Coronavirus disease 2019 (COVID-19) pandemic. Pneumonia and acute respiratory distress syndrome are the major complications of COVID-19. SARS-CoV-2 infection can activate innate and adaptive immune responses and result in massive inflammatory responses later in the disease. These uncontrolled inflammatory responses may lead to local and systemic tissue damage. In patients with severe COVID-19, eosinopenia and lymphopenia with a severe reduction in the frequency of CD4+ and CD8+ T cells, B cells and natural killer (NK) cells are a common feature. COVID-19 severity hinges on the development of cytokine storm characterized by elevated serum levels of pro-inflammatory cytokines. Moreover, IgG-, IgM- and IgA-specific antibodies against SARS-CoV-2 can be detected in most patients, along with the viral RNA, forming the basis for assays that aid in patient diagnosis. Elucidating the immunopathological outcomes due to COVID-19 could provide potential targets for immunotherapy and are important for choosing the best clinical management by consultants. Currently, along with standard supportive care, therapeutic approaches to COVID-19 treatment involve the use of antiviral agents that interfere with the SARS-CoV-2 lifecycle to prevent further viral replication and utilizing immunomodulators to dampen the immune system in order to prevent cytokine storm and tissue damage. While current therapeutic options vary in efficacy, there are several molecules that were either shown to be effective against other viruses such as HIV or show promise in vitro that could be added to the growing arsenal of agents used to control COVID-19 severity and spread."
Role of antibody-dependent enhancement (ADE) in the virulence of SARS-CoV-2 and its mitigation strategies for the development of vaccines and immunotherapies to counter COVID-19.,"Coronavirus disease-2019 (COVID-19) pandemic has become a global threat and death tolls are increasing worldwide. The SARS-CoV-2 though shares similarities with SARS-CoV and MERS-CoV, immunopathology of the novel virus is not understood properly. Previous reports from SARS and MERS-CoV documents that preexisting, non-neutralizing or poorly neutralizing antibodies developed as a result of vaccine or infection enhance subsequent infection, a phenomenon called as antibody-dependent enhancement (ADE). Since immunotherapy has been implicated for COVID-19 treatment and vaccine is under development, due consideration has to be provided on ADE to prevent untoward reactions. ADE mitigation strategies like the development of vaccine or immunotherapeutics targeting receptor binding motif can be designed to minimize ADE of SARS-CoV-2 since full-length protein-based approach can lead to ADE as reported in MERS-CoV. The present mini-review aims to address the phenomenon of ADE of SARS-CoV-2 through the lessons learned from SARS-CoV and MERS-CoV and ways to mitigate them so as to develop better vaccines and immunotherapeutics against SARS-CoV-2."
Review of registered clinical trials for the treatment of COVID-19.,"Coronavirus disease 2019 (COVID-19) is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The disease was first reported in December 2019 in Wuhan, China, but now more than 200 countries have been affected and the coronavirus pandemic is still ongoing. The severity of COVID-19 symptoms can range from mild to severe. FDA approved remdesivir as a treatment of COVID-19 so far. Various clinical trials are underway to find an effective method to treat patients with COVID-19. This review aimed at summarizing 219 registered clinical trials in the ClinicalTrials.gov database with possible mechanisms, and novel findings of them, and other recent publications related to COVID-19. According to our analyses, various treatment approaches and drugs are being investigated to find an effective drug to cure COVID-19 and among all strategies, three important mechanisms are suggested to be important against COVID-19 including antiviral, anti-inflammatory, and immunomodulatory properties. Our review can help future studies get on the way to finding an effective drug for COVID-19 treatment by providing ideas for similar researches."
Pharmacological treatments of COVID-19.,"The viral infection due to the new coronavirus or coronavirus disease 2019 (COVID-19), which was reported for the first time in December 2019, was named by the World Health Organization (WHO) as Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV2), because of the very similar genome and also its related symptoms to SARS-CoV1. The ongoing COVID-19 pandemic with significant mortality, morbidity, and socioeconomic impact is considered by the WHO as a global public health emergency. Since there is no specific treatment available for SARS-CoV2 infection, and or COVID-19, several clinical and sub-clinical studies are currently undertaken to find a gold-standard therapeutic regimen with high efficacy and low side effect. Based on the published scientific evidence published to date, we summarized herein the effects of different potential therapies and up-to-date clinical trials. The review is intended to help readers aware of potentially effective COVID-19 treatment and provide useful references for future studies."
"Stem cell therapy for COVID-19, ARDS and pulmonary fibrosis.","Coronavirus disease 2019 (COVID-19) is an acute respiratory infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). COVID-19 mainly causes damage to the lung, as well as other organs and systems such as the hearts, the immune system and so on. Although the pathogenesis of COVID-19 has been fully elucidated, there is no specific therapy for the disease at present, and most treatments are limited to supportive care. Stem cell therapy may be a potential treatment for refractory and unmanageable pulmonary illnesses, which has shown some promising results in preclinical studies. In this review, we systematically summarize the pathogenic progression and potential mechanisms underlying stem cell therapy in COVID-19, and registered COVID-19 clinical trials. Of all the stem cell therapies touted for COVID-19 treatment, mesenchymal stem cells (MSCs) or MSC-like derivatives have been the most promising in preclinical studies and clinical trials so far. MSCs have been suggested to ameliorate the cytokine release syndrome (CRS) and protect alveolar epithelial cells by secreting many kinds of factors, demonstrating safety and possible efficacy in COVID-19 patients with acute respiratory distress syndrome (ARDS). However, considering the consistency and uniformity of stem cell quality cannot be quantified nor guaranteed at this point, more work remains to be done in the future."
Remdesivir: Critical Clinical Appraisal for COVID 19 Treatment.,"Remdesivir is presently been considered as 'molecule of hope' to curb the menace of COVID19. Non-availability of any USFDA approved drug has led to several attempt of drug-repurposing and development of new therapeutic molecules. However, Remdesivir has been found to be effective against a broad range of virus including SARS, MERS and COVID 19 through in-vitro studies. Several clinical research attempt are presently being conducted showing promising result yet not conclusive. This review summarized all such clinical trials to critically appraise the usage of Remdesivir against COVID 19 along with the publications related to the results of the clinical studies. The present regulatory aspect i. e. Emergency Use Authorization (EYA) and information of molecule and plausible mechanism is also dealt."
Remdesivir in Coronavirus Disease 2019 (COVID-19) treatment: a review of evidence.,"COVID-19 is an infectious disease caused by a novel beta-coronavirus, belonging to the same subgenus as the Severe Acute Respiratory Syndrome (SARS) virus. Remdesivir, an investigational broad-spectrum antiviral agent has previously demonstrated in vitro activity against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), and in vivo efficacy against other related coronaviruses in animal models. Its safety profile has been tested in a compassionate use setting for patients with COVID-19. The current therapeutic studies demonstrate clinical effectiveness of remdesivir in COVID-19 patients by shortening time to clinical recovery, and hospital stay. In this review, we critically analyze the current evidence of remdesivir against COVID-19 and dissect the aspects over its safety and efficacy. Based on existing data, remdesivir can be regarded as a potential therapeutic agent against COVID-19. Further large-scale, randomized placebo-controlled clinical trials are, however, awaited to validate these findings."
Drug-drug interactions with candidate medications used for COVID-19 treatment: An overview.,"Drug-drug interaction (DDI) is a common clinical problem that has occurred as a result of the concomitant use of multiple drugs. DDI may occur in patients under treatment with medications used for coronavirus disease 2019 (COVID-19; i.e., chloroquine, lopinavir/ritonavir, ribavirin, tocilizumab, and remdesivir) and increase the risk of serious adverse reactions such as QT-prolongation, retinopathy, increased risk of infection, and hepatotoxicity. This review focuses on summarizing DDIs for candidate medications used for COVID-19 in order to minimize the adverse reactions."
Nano-Biomimetic Drug Delivery Vehicles: Potential Approaches for COVID-19 Treatment.,"The current COVID-19 pandemic has tested the resolve of the global community with more than 35 million infections worldwide and numbers increasing with no cure or vaccine available to date. Nanomedicines have an advantage of providing enhanced permeability and retention and have been extensively studied as targeted drug delivery strategies for the treatment of different disease. The role of monocytes, erythrocytes, thrombocytes, and macrophages in diseases, including infectious and inflammatory diseases, cancer, and atherosclerosis, are better understood and have resulted in improved strategies for targeting and in some instances mimicking these cell types to improve therapeutic outcomes. Consequently, these primary cell types can be exploited for the purposes of serving as a ""Trojan horse"" for targeted delivery to identified organs and sites of inflammation. State of the art and potential utilization of nanocarriers such as nanospheres/nanocapsules, nanocrystals, liposomes, solid lipid nanoparticles/nano-structured lipid carriers, dendrimers, and nanosponges for biomimicry and/or targeted delivery of bioactives to cells are reported herein and their potential use in the treatment of COVID-19 infections discussed. Physicochemical properties, viz., hydrophilicity, particle shape, surface charge, composition, concentration, the use of different target-specific ligands on the surface of carriers, and the impact on carrier efficacy and specificity are also discussed."
Challenges in COVID-19 drug treatment in patients with advanced liver diseases: A hepatology perspective.,"The global incidence of coronavirus disease 2019 (COVID-19) continues to increase despite health care efforts. The disease is caused by coronavirus 2 with high transmission and mortality rates. Little is known about the management of COVID-19 in advanced liver disease. The aim of work was to propose a plan for management of this drastic disease in case of this specific population with review of medications that could be suitable for advanced liver disease. All the guidelines and medications available for treatment of COVID-19 were reviewed with selection of the less toxic medications that could be used in advanced liver disease. Drugs suitable to manage COVID-19 in patients with liver disease might include remdesivir intravenously, nitazoxanide + sofosbuvir, ivermectin, tocilizumab, convalescent plasma, and low molecular weight heparin in certain situations. Advanced liver disease is associated with portal hypertension and splenomegaly with reduction of blood elements and immune dysfunction and impaired T cell function. Thus, when confronted by cytokine storm as an immune response to COVID-19, there may be an increase in the mortality rate of these patients. Through this review, a plan to treat COVID-19 in this special group of patients with advanced cirrhosis is proposed."
Tackling COVID-19 Using Remdesivir and Favipiravir as Therapeutic Options.,"The human world is currently influenced largely by the outbreak of pandemic COVID-19. At this moment, most researchers focus on developing treatment strategies and measures to work against COVID-19. Treatment strategies specific for COVID-19 are lacking. This article provides an overview of the life cycle and routes of transmission of SARS-CoV-2. The therapeutic effects of two drugs [i. e., remdesivir (RDV) and favipiravir (FPV)] which can potentially tackle COVID-19 are discussed based on current published data. This review can serve as a reference for future studies."
Could Sumac Be Effective on COVID-19 Treatment?,"Sumac is an herbal product, commonly consumed as a spice and was used for medical treatment for centuries. The phytochemical structure of Sumac was studied extensively, and it was established that the herb contained tannins, polyphenols, flavonoids, organic acids, and essential oils. Various scientific studies demonstrated that Sumac had a free oxygen radical-scavenging effect, a protective effect against liver damage, antihemolytic, leukopenia, and antifibrogenic effects, along with its antiviral, antimicrobial, anti-inflammatory, and antioxidant properties. Recently, several scientific studies described the pathophysiology, clinical course, and the treatment of COVID-19 infection. The examination of the characteristics of COVID-19 infection revealed via the clinical studies suggests that Sumac extract could be useful in the treatment of COVID-19. Given the scientific studies focusing on the beneficial effects of Sumac, the present review aims to provide an encouraging viewpoint to investigate whether Sumac is effective in treating COVID-19 infection."
Micronutrients and bioactive substances: Their potential roles in combating COVID-19.,"OBJECTIVES: The coronavirus disease 2019 (COVID-19) pandemic is seriously threatening public health and setting off huge economic crises across the world. In the absence of specific drugs for COVID-19, there is an urgent need to look for alternative approaches. Therefore, the aim of this paper was to review the roles of micronutrients and bioactive substances as potential alternative approaches in combating COVID-19. METHODS: This review was based on the literature identified using electronic searches in different databases. RESULTS: Vitamins (A, B, C, D, and E), minerals (selenium and zinc), and bioactive substances from curcumin, echinacea, propolis, garlic, soybean, green tea, and other polyphenols were identified as having potential roles in interfering with spike glycoproteins, angiotensin converting enzyme 2, and transmembrane protease serine 2 at the entry site, and inhibiting activities of papain-like protease, 3 chymotrypsin-like protease, and RNA-dependent RNA polymerase in the replication cycle of severe acute respiratory syndrome coronavirus 2. Having immunomodulating, antiinflammatory, antioxidant, and antiviral properties, such micronutrients and bioactive substances are consequently promising alterative nutritional approaches to combat COVID-19. CONCLUSIONS: The roles of micronutrients and bioactive substances in the fight against COVID-19 are exciting areas of research. This review may suggest directions for further study."
Efficacy and safety of tocilizumab in COVID-19 patients: a living systematic review and meta-analysis.,"OBJECTIVES: Cytokine release syndrome with elevated interleukin-6 (IL-6) levels is associated with multiorgan damage and death in severe coronavirus disease 2019 (COVID-19). Our objective was to perform a living systematic review of the literature concerning the efficacy and toxicity of the IL-6 receptor antagonist tocilizumab in COVID-19 patients. METHODS: Data sources were Ovid MEDLINE(R) and Epub Ahead of Print, In-Process & Other Non-Indexed Citations and Daily, Ovid Embase, Ovid Cochrane Central Register of Controlled Trials, Ovid Cochrane Database of Systematic Reviews, Web of Science, Scopus up, preprint servers and Google up to October 8, 2020. Study eligibility criteria were randomized controlled trials (RCTs) and observational studies at low or moderate risk of bias. Participants were hospitalized COVID-19 patients. Interventions included tocilizumab versus placebo or standard of care. We pooled crude risk ratios (RRs) of RCTs and adjusted RRs from cohorts, separately. We evaluated inconsistency between studies with I(2). We assessed the certainty of evidence using the GRADE approach. RESULTS: Of 1156 citations, 24 studies were eligible (five RCTs and 19 cohorts). Five RCTs at low risk of bias, with 1325 patients, examined the effect of tocilizumab on short-term mortality; pooled RR was 1.09 (95%CI 0.80-1.49, I(2) = 0%). Four RCTs with 771 patients examined the effect of tocilizumab on risk of mechanical ventilation; pooled RR was 0.71 (95%CI 0.52-0.96, I(2) = 0%), with a corresponding number needed to treat of 17 (95%CI 9-100). Among 18 cohorts at moderate risk of bias with 9850 patients, the pooled adjusted RR for mortality was 0.58 (95%CI 0.51-0.66, I(2) = 2.5%). This association was observed over all degrees of COVID-19 severity. Data from the RCTs did not show a higher risk of infections or adverse events with tocilizumab: pooled RR 0.63 (95%CI 0.38-1.06, five RCTs) and 0.83 (95%CI 0.55-1.24, five RCTs), respectively. CONCLUSIONS: Cumulative moderate-certainty evidence shows that tocilizumab reduces the risk of mechanical ventilation in hospitalized COVID-19 patients. While RCTs showed that tocilizumab did not reduce short-term mortality, low-certainty evidence from cohort studies suggests an association between tocilizumab and lower mortality. We did not observe a higher risk of infections or adverse events with tocilizumab use. This review will continuously evaluate the role of tocilizumab in COVID-19 treatment."
Administration of intravenous immunoglobulin in the treatment of COVID-19: A review of available evidence.,"Since December 31, 2019, unknown causes of pneumonia have been reported in Wuhan, China. This special pneumonia associated with a novel coronavirus was named 2019-nCoV by the World Health Organization (WHO) in January 2020. From the beginning of this infectious disease, clinicians and researchers have been endeavoring to discover an effective and suitable treatment for affected patients. To date, there is no definitive and specific treatments for coronavirus disease-19 (COVID-19) infection while drugs introduced are still in the clinical trial phase. Intravenous immune globulin (IVIG) is a biological product prepared from the serum and an optional treatment for patients with antibody deficiencies. In many countries, much attention has been paid to the use of IVIG in the treatment of patients with COVID-19. Due to the therapeutic importance of IVIG in virus infections, in the current study, we reviewed the possible effect of IVIG in viral infections and potential evidence of IVIG therapy in patients with COVID-19 virus."
Assessment of COVID-19 Treatment containing both Hydroxychloroquine and Azithromycin: A natural clinical trial.,"The goal of this study was to assess the clinical effectiveness and safety profile of the COVID-19 treatment protocol (containing both hydroxychloroquine (HCQ) and azithromycin) in an Iraqi specialised hospital. METHODS: This prospective study used a pre- and post-intervention design without a comparison group. The intervention was routine Ministry of Health (MOH) approved the management of COVID-19 for all patients. The study was conducted in a public healthcare setting in Baghdad, Iraq from March 1st to May 25, 2020. The study outcome measures included the changes in clinical and biochemical parameters during the hospitalisation period. Paired t-test and Chi-square test were used to compare the measures of vital signs, lab tests and symptoms before and after treatment. RESULTS: The study included 161 patients who were admitted with positive RT-PCR and clinical symptoms of COVID-19. In terms of severity, 53 (32.9%) patients had amild condition, 47 (29.2%) had moderate condition, 35 (21.7%) had severe condition and 26 (16.1%) had critical condition. Most patients (84.5%) recovered and were discharged without symptoms after testing negative with RT-PCR, while 11 (6.8%) patients died during the study period. The signs and symptoms of COVID-19 were reduced significantly in response to a therapy regimen containing HCQ and azithromycin. The most common reported side effects were stomach pain, hypoglycemia, dizziness, itching, skin rash, QT prolongation, arrhythmia, and conjunctivitis. CONCLUSIONS: This natural trial showed that the COVID-19 regimen containing both HCQ and azithromycin can be helpful to promote the recovery of most patients and reduced their signs and symptoms significantly. It also shows some manageable side effects mostly those related to heart rhythm. In the absence of FDA-approved medications to treat COVID-19, the repurposing of HCQ and azithromycin to control the disease signs and symptoms can be useful."
Kidney involvement in COVID-19 and its treatments.,"The lungs are the most commonly affected organ by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), but the kidneys are also frequently affected. Infection with SARS-CoV-2 can not only cause new kidney damage but also increase the difficulty of treatment and care as well as mortality for people with underlying kidney diseases. Kidney involvement in SARS-CoV-2 infection mainly manifests as kidney tubular injury. Proteinuria is the main clinical sign. To reduce patient mortality, kidney complications should be given increased attention in the diagnosis and treatment of coronavirus disease 2019 (COVID-19). This study reviews the existing literature and discusses COVID-19 infection in combination with kidney diseases in terms of kidney damage, pathogenesis, and treatment to guide clinical anti-epidemic responses."
